Bloomberg symbol,Primary Exchange,me,Industry me,Country,Country Premium,$/Local currency,Market Cap in $,FCFF,FCFE,Market Capitalization,Firm Value,Enterprise Value,Cash & near Cash,Invested Capital,Total Debt,Book Equity,Revenues,Net Cap Ex,EBIT,EBITDA,EBIT (1-t),Chg in non-cash WC,Reinvestment,Tax Rate,Net Income,Standard deviation in stock prices,Beta,Geo growth in earnings per share,Cash/Firm Value,Payout Ratio,Reinvestment Rate,Net Margin,After-tax Margin,PE,PBV,PS,EV/EBITDA,EV/EBIT,Firm Value/BV,EV/Sales,ROE,ROIC,Market Debt to Capital,Market Debt to Equity,Book Debt to Equity,Interest Coverage Ratio
KMF IN Equity     ,Bombay,KOTAK MAHINDRA BANK LTD,Diversified Fin Serv,India,0.02,0.0221,427.96959400000003,804.1529929999999,737.6200229157103,19365.14,46167.91,45255.88,912.03,36446.62,26802.77,10555.88,7007.33,240.95,1412.53,1688.31,788.332993,-256.77,-15.819999999999936,0.44189999999999996,733.15,0.48074,1.158,,0.019754630434862655,0.18648298438245925,-0.020067661940415496,0.10462615575404612,0.11250119417809637,26.4136124940326,1.8345358226883974,2.7635547348276734,26.8054326515865,32.03888059014676,1.2358024179139235,6.458362885721096,0.06945418098727914,0.021629797029189535,0.5805497801394951,1.3840731334759264,2.539131744582167,
LMW IN Equity     ,Bombay,LAKSHMI MACHINE WORKS LTD,Machinery-General Indust,India,0.02,0.0221,119.899572,659.8626220000001,665.8840442341186,5425.32,6500.87,6402.88,97.99,3961.32,1075.55,2983.76,5276.9,-178.99,378.98,644.19,293.29262200000005,-187.58,-366.57,0.2261,396.44,0.26227,0.621,0.0149,0.015073367103172345,0.09169105034809807,-1.249843918678595,0.07512744224828972,0.05558047755310885,13.685097366562404,1.8182829718207896,1.0281263620686387,9.939427808565796,16.895034038735552,1.6014716786843082,1.2133790672553963,0.13286591414859103,0.07403911372976685,0.1654470863130627,0.19824637072098975,0.36046800010724717,3.589165640685671
LT IN Equity     ,Bombay,LARSEN & TOUBRO LIMITED,Diversified Operations,India,0.02,0.0221,2936.886679779,8690.33417,6364.631034582835,132890.79999,180663.59999000002,177288.39999,3375.2,76563.59,47772.8,32165.99,103269,-1608.8,5942.1,10348.2,4799.43417,-2282.1,-3890.9,0.1923,4799,0.40414,1.027,-0.021400000000000002,0.01868223593566619,0.41062721400291724,-0.8106997329645631,0.04647086734644472,0.04647507160909857,27.69135236299229,4.13140711633623,1.2868411623042733,17.13229353800661,29.83598390972888,2.2600242008917073,1.7167630168782502,0.149194848347587,0.06268559468018675,0.264429580738147,0.3594891444975491,1.4851960098227974,1.4812294346395454
LICHF IN Equity     ,Bombay,LIC HOUSING FINCE,Fince-Mtge Loan/Banker,India,0.02,0.0221,362.941006779,2224.87,2340.6045420497962,16422.66999,90459.10999,90219.10999,240,82521.4,74036.44,8724.96,10136.24,47.78,2448.75,2465.37,1900.23,-372.42,-324.64,0.22399999999999998,2306.38,0.49028,0.945,0.1588,0.0026531324487553696,0.16157354815771902,-0.17084247696331495,0.22753802198842965,0.1874689233877651,7.120539542486493,1.8822630694008913,1.6201934829877744,36.5945517265157,36.8429239367024,1.0930108720973788,8.900648562977988,0.26434275916451194,0.023027117814288175,0.8184520056430417,4.508185334362918,8.485590764886028,
LPC IN Equity     ,Bombay,LUPIN LTD,Medical-Drugs,India,0.02,0.0221,565.1816430000001,926.34144,883.1780588677071,25573.83,31530.23,31446.83,83.4,9636.7,5956.4,3763.7,10276.2,356.9,1539.6,1795.6,1210.74144,-72.5,284.4,0.21359999999999998,993.3,0.49104,1.14,-0.1079,0.002645080609941634,0.10852713178294573,0.23489738651383732,0.09666024405908798,0.1178199567933672,25.746330413772277,6.794864096500785,2.488646581421148,17.51327132991758,20.425324759677842,3.2438174504377537,3.0601613436873554,0.26391582751016285,0.12563859412454473,0.18891076912537583,0.23290997085692675,1.5825915986927757,2.455894081990748
MCMI IN Equity     ,Bombay,MACMILLAN INDIA LTD,Publishing-Books,India,0.02,0.0221,90.9718654,134.76675,218.16,4116.374,4116.374,4034.524,81.85,997.54,0,1079.39,815.32,9.52,223.75,263.65,193.00675,48.72,58.24,0.1374,276.4,0.47154,0.914,,0.019884004708998745,0.15137481910274966,0.30175110455981463,0.3390079968601285,0.23672515086101162,14.89281476121563,3.81361139161934,5.0487832998086635,15.302575384031861,18.03139217877095,3.81361139161934,4.948393268900554,0.2560705583709317,0.19348271748501314,0,0,0,379.23728813559325
MAL IN Equity     ,Bombay,MADRAS ALUMINIUM CO LTD,Metal-Aluminum,India,0.02,0.0221,69.4906875,585.921396,427.31613805568304,3144.375,7414.745,7409.215,5.53,5333.62,4270.37,1068.78,2637.46,-182.9,554.18,749.92,439.021396,36,-146.9,0.2078,397.91,0.64447,0.786,-0.08960000000000001,0.0007458112180526776,0.225176547460481,-0.33460783765536567,0.15086863876608556,0.16645613431104167,7.902226634163504,2.9420226800651212,1.1921981755173539,9.880007200768082,13.369690353314809,1.3887500819418823,2.8092236469936984,0.3723029996818803,0.0823120874752982,0.5759294486863675,1.3580981912144703,3.995555680308389,1.3356953482766931
MC IN Equity     ,Bombay,MADRAS CEMENTS LIMITED,Bldg Prod-Cement/Aggreg,India,0.02,0.0221,217.73715600000003,625.94247,288.9963382197316,9852.36,15539.18,15218.9,320.28,8061.49,5686.82,2694.95,6182.54,-210.53,895.54,1535.61,497.47247,82.06,-128.47,0.4445,247.69,0.36184,0.53,-0.16649999999999998,0.020611126198422307,0.2929872017441156,-0.2582454462253962,0.040062822076363434,0.0804640924280312,39.77697928862692,3.6558600345089896,1.5935780439754537,9.910654397926557,16.994104115952386,1.8539258414392186,2.4615934551171526,0.09190894079667526,0.06170974224367951,0.3659665439231671,0.5772038374562033,2.110176441121357,1.3532700676982592
MDF IN Equity     ,Bombay,MADRAS FERTILIZERS LTD,Agricultural Chemicals,India,0.02,0.0221,67.468427,0,,3052.87,3052.87,3052.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61615,0.943,,0,,,,,,,,,,,,,,0,0,,
MTNL IN Equity     ,Bombay,MAHAGAR TELEPHONE NIGAM,Telecom Services,India,0.02,0.0221,1883.0857500000002,29222.923604000003,34153.06,85207.5,85207.5,82819.77,2387.73,92585.34,0,94973.07,58098.76,3389.19,10811.37,19484.12,7667.423604000001,-24944.69,-21555.5,0.2908,12597.56,0.37043,1.174,-0.0553,0.02802253322770883,0.22504357986784743,-2.811309393256264,0.2168301010210889,0.1319722418172092,6.763809817139192,0.8971753782414319,1.466597565937724,4.250629230368115,7.6604324891295,0.8971753782414319,1.4254997869145571,0.13264349567724829,0.08281466163001616,0,0,0,32.94241140802584
