Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
The Governor and Company of the Bank of Ireland (ISE:BIR),ISE:BIR,Diversified Banks (Primary),6677,0.68,0.0857,0.1482,0.8686,-6753.8,5522.9, NA , NA ,1210.4,19.39,-3688.4,-0.3334
Komercni Banka AS (SEP:KOMB),SEP:KOMB,Diversified Banks (Primary),6638.1,1.61,0.1276,0.1634,0.6504,-2530.5,650.6,896,718,2835.6,29.3,4236,0.6763
Hong Leong Bank Berhad (KLSE:HLBANK),KLSE:HLBANK,Diversified Banks (Primary),6621.5,1.26,0.0901,0.1358,0.7935,3741.8,4408.8,3636,2577,973.7,14.43,3340.8,0.2958
Crédit Industriel et Commercial (ENXTPA:CC),ENXTPA:CC,Diversified Banks (Primary),6573.3,0.46,0.0918,0.1168,0.8897,-6424.6,1484.3,4510, NA ,328,0,8005.5,0.041
Commercial International Bank (Egypt) S.A.E. (CASE:COMI),CASE:COMI,Diversified Banks (Primary),6443.8,3.15,0.26,0.1167,0.6988,3200.3,4469.8,999, NA ,912,0,2662.8,0.3425
"Bank of Jinzhou Co., Ltd. (SEHK:416)",SEHK:416,Regional Banks (Primary),6373.3,1.62,0.2769,0.0897,1.0075, NA , NA ,3621,3670,281.84,0,1876.1,0.1502
"Bankinter, S.A. (BME:BKT)",BME:BKT,Diversified Banks (Primary),6368.7,1.54,0.1251,0.1177,0.8443,-859.2,2837.8,1379, NA ,926.3,190.82,1970.2,0.567
Banque Saudi Fransi (SASE:1050),SASE:1050,Diversified Banks (Primary),6349.2,0.87,0.1492,0.1496,1.0169,-11011.7,-410,3580,3832,1663.3,0,5639.5,0.2949
Industrial Bank of Korea (KOSE:A024110),KOSE:A024110,Diversified Banks (Primary),6082.8,0.43,0.0692,0.0936,0.8577,-1538.4,3387.4,8614, NA ,1621.06,284.5,6899.9,0.2762
"Shengjing Bank Co.,Ltd. (SEHK:2066)",SEHK:2066,Regional Banks (Primary),5978.8,0.94,0.157,0.0942,1.007, NA , NA ,5497, NA ,464.79,0,4059.2,0.1145
Bank Leumi Le-Israel BM (TASE:LUMI),TASE:LUMI,Diversified Banks (Primary),5785.9,0.78,0.09,0.0958,1.0081,-1068.4,2704.7,2440,2337,377.1,0,3616.3,0.1043
Chongqing Rural Commercial Bank Co Ltd (SEHK:3618),SEHK:3618,Regional Banks (Primary),5743.4,0.8,0.1569,0.0989,1.0071, NA , NA ,6046,6209,1129.01,0,5478.2,0.2061
SVB Financial Group (NasdaqGS:SIVB),NasdaqGS:SIVB,Regional Banks (Primary),5691.9,1.78,0.1068,0.1283,1.0397,4019.2,4831.8,2428,2296,12.1,0,1312.3,0.0092
Metropolitan Bank & Trust Company (PSE:MBT),PSE:MBT,Diversified Banks (Primary),5689.4,1.38,0.0947,0.1425,0.8152,3317.4, NA ,2759,2280,408.3,0,2301.2,0.1774
Banque Cantonale Vaudoise (SWX:BCVN),SWX:BCVN,Regional Banks (Primary),5633.8,1.66,0.0948,0.1763,0.8608,1823.5,3043.5,420, NA ,860.5,400,2237,0.5635
Huishang Bank Corporation Limited (SEHK:3698),SEHK:3698,Regional Banks (Primary),5584.6,0.88,0.1543,0.0981,1.0081, NA , NA ,4587, NA ,1396.4,0,4589.2,0.3043
Banco de Credito e Inversiones (SNSE:BCI),SNSE:BCI,Diversified Banks (Primary),5532.5,1.96,0.1732,0.0846,1,2564.8,3852.8,1622, NA ,1068.4,0,3522.7,0.3033
Capitec Bank Holdings Ltd. (JSE:CPI),JSE:CPI,Diversified Banks (Primary),5488.9,6.42,0.2792,0.3048,0.9478,4998.9,5233.1,731,675,343.08,1.79,1045.4,0.3299
Arab Bank Plc (ASE:ARBK),ASE:ARBK,Diversified Banks (Primary),5471.9,0.69,0.0546,0.1912,0.8005,-9270.6,-5926.8,847,1458,1288.4,0,2917.1,0.4417
Yapi Ve Kredi Bankasi AS (IBSE:YKBNK),IBSE:YKBNK,Diversified Banks (Primary),5261.8,0.66,0.1098,0.0955,0.8934,-5807.3,-652.6,3385,3466,443,0,8127.2,0.0545
"East West Bancorp, Inc. (NasdaqGS:EWBC)",NasdaqGS:EWBC,Regional Banks (Primary),5261.1,1.68,0.127,0.1065,0.8603,3749.9,4244.3,2045,1255,459.7,433.71,1792,0.4986
"Bank of Guiyang Co., Ltd. (SHSE:601997)",SHSE:601997,Regional Banks (Primary),5187,2.41,0.228,0.1068,1.0105, NA , NA , NA , NA ,188.7,0,1447.5,0.1304
Banco Popular Espanol S.A. (BME:POP),BME:POP,Diversified Banks (Primary),5185.8,0.38,0.0009,0.1311,0.7981,-15300.6,-5187.9,4121,387,1387,5893.7,128.5,56.6591
Philtrust Bank (PSE:PTC),PSE:PTC,Diversified Banks (Primary),5179.4,10.34,0.0465,0.4667,1.0036, NA , NA ,288,337,0,0,226,0
"Bank of Tianjin Co., Ltd. (SEHK:1578)",SEHK:1578,Regional Banks (Primary),5165.6,1.02,0.1545,0.0933,1, NA , NA ,3921, NA ,423.82,0,3246.3,0.1306
"E.SUN Financial Holding Company, Ltd. (TSEC:2884)",TSEC:2884,Diversified Banks (Primary),5051.7,1.38,0.1132,0.094,0.9485,3335.7,4119.5,2181, NA ,284.4,15.8,1554.5,0.1931
"The Shizuoka Bank, Ltd. (TSE:8355)",TSE:8355,Regional Banks (Primary),4954.6,0.6,0.0375,0.1479,0.8879,-2809.2,-2959.4, NA , NA ,202.4,237.67,3172,0.1387
People's United Financial Inc. (NasdaqGS:PBCT),NasdaqGS:PBCT,Regional Banks (Primary),4780.9,1.01,0.0572,0.0979,0.6125,-388.2,-1187.8,-442,1096,1463.4,1140,1365.6,1.9064
Finansbank AS (IBSE:FINBN),IBSE:FINBN,Diversified Banks (Primary),4772.3,1.51,0.0819,0.1182,0.971,-1497.7,651.8,801, NA ,73.37,0,3171.9,0.0231
"Commerce Bancshares, Inc. (NasdaqGS:CBSH)",NasdaqGS:CBSH,Regional Banks (Primary),4715.2,2.13,0.1189,0.1233,0.9906,1486.2,1383.1,641,685,577,711.23,1702.9,0.7565
"Chang Hwa Commercial Bank, Ltd. (TSEC:2801)",TSEC:2801,Diversified Banks (Primary),4667.1,1.19,0.093,0.0883,0.8917,2035.3,2243.7,1469, NA ,502.9,0,1945.5,0.2585
"The Chiba Bank, Ltd. (TSE:8331)",TSE:8331,Regional Banks (Primary),4624,0.6,0.071,0.1274,0.9092,-2642.6,-798.4, NA , NA ,217.2,63.78,3281,0.0856
Punjab National Bank (BSE:532461),BSE:532461,Diversified Banks (Primary),4591.6,0.73,-0.0883,0.1015,1.1124,-732.1,1178.5,3238, NA ,0,0,0,7
CorpBanca (SNSE:ITAUCORP),SNSE:ITAUCORP,Diversified Banks (Primary),4553.3,2.64,0.1832,0.0598,0.9698,2981.4,3680.2,944,892,1197.7,0,1909.1,0.6274
Raiffeisen Bank International AG (WBAG:RBI),WBAG:RBI,Diversified Banks (Primary),4456.6,0.52,0.0402,0.1212,0.963,-17290,272.7,834,162,2904.6,3026.1,4413.8,1.3437
Alinma Bank (SASE:1150),SASE:1150,Diversified Banks (Primary),4414.5,0.9,0.0852,0.2235,1, NA ,-21.7,789, NA ,215.8,41.23,1412.85,0.1819
Jyske Bank A/S (CPSE:JYSK),CPSE:JYSK,Diversified Banks (Primary),4320.3,0.99,0.0778,0.1651,0.9724,-24.4,3102.6,2368,2071,0,1455.3,1611.6,0.903
Graubündner Kantonalbank (SWX:GRKP),SWX:GRKP,Diversified Banks (Primary),4295.8,1.82,0.0728,0.1869,0.9676,2115.4,2103.3,739, NA ,689.3,155.16,1120.8,0.7534
Hong Leong Financial Group Berhad (KLSE:HLFG),KLSE:HLFG,Diversified Banks (Primary),4271.3,1.12,0.0886,0.1358,1.0923,2388.2,3076.2,2532,2577,620.6,9.51,2846.6,0.2214
Commercial Bank of Dubai PSC (DFM:CBD),DFM:CBD,Diversified Banks (Primary),4197,1.87,0.1145,0.1545,0.9266,1029.6,2594.2,960,859,826.8,0,1792,0.4614
"Popular, Inc. (NasdaqGS:BPOP)",NasdaqGS:BPOP,Regional Banks (Primary),3953.5,0.78,0.0786,0.1621,0.8011,982.5,2498.2,3270,777,105.89,7.17,1141.2,0.0991
Arab National Bank (SASE:1080),SASE:1080,Diversified Banks (Primary),3942.6,0.68,0.1338,0.1364,0.9749,-10737.4,-1460.8,2457,2517,1462.8,0,4581.1,0.3193
Türkiye Vakiflar Bankasi Türk Anonim Ortakligi (IBSE:VAKBN),IBSE:VAKBN,Diversified Banks (Primary),3836.4,0.68,0.142,0.1095,1.0116,-7818.6,1941.4,1770,1893,240.8,0,5425.4,0.0444
mBank S.A. (WSE:MBK),WSE:MBK,Diversified Banks (Primary),3836.4,1.24,0.1079,0.1429,0.8098,-2270,1866,1785, NA ,342.1,0,2072,0.1651
Banque Marocaine du Commerce Exterieur S.A. (CBSE:BCE),CBSE:BCE,Diversified Banks (Primary),3833,2.23,0.1277,0.0946,1.1611,-1622.7,-1252.2,1030, NA ,219.8,4.37,917.6,0.2443
Turkiye Halk Bankasi A.S. (IBSE:HALKB),IBSE:HALKB,Diversified Banks (Primary),3795,0.58,0.143,0.1236,1.0049,-9214.2,69.7,3789,3748,1336.2,0,7949.3,0.1681
Western Alliance Bancorporation (NYSE:WAL),NYSE:WAL,Regional Banks (Primary),3790.1,2.38,0.1491,0.1016,0.8426,3235.2,3407.6,1221,879,28.2,0,402.7,0.07
Security Bank Corporation (PSE:SECB),PSE:SECB,Diversified Banks (Primary),3715.4,3.28,0.148,0.1219,0.9288,3088.8, NA ,866,771,95.97,0,1002.8,0.0957
"First Hawaiian, Inc. (NasdaqGS:FHB)",NasdaqGS:FHB,Regional Banks (Primary),3686.6,1.35,0.0824,0.1531,0.655, NA , NA ,-4990,195,356.7,0,2115,0.1687
Sociedad Matriz del Banco de Chile S.A. (SNSE:SM-CHILE B),SNSE:SM-CHILE B,Diversified Banks (Primary),3629.2,2.33,0.0963,0.0997,2.4834,2246.4,2803.3,562, NA ,477.8,0,984.4,0.4854
Luzerner Kantonalbank AG (SWX:LUKN),SWX:LUKN,Diversified Banks (Primary),3523.4,1.42,0.0734,0.1535,1.0148,1586.5,1607.7,1327, NA ,667.1,106.92,1208,0.6407
The Shanghai Commercial & Savings Bank Ltd. (GTSM:5876),GTSM:5876,Diversified Banks (Primary),3520.3,1.01,0.1021,0.108,1.066, NA , NA ,1571, NA ,1267.1,1,2202.5,0.5758
First Horizon National Corporation (NYSE:FHN),NYSE:FHN,Regional Banks (Primary),3512.8,1.56,0.0962,0.118,1.1439,1218.9,1342.8,-248,-1212,265.44,348.34,219.1,2.8014
FinecoBank Banca Fineco S.p.A. (BIT:FBK),BIT:FBK,Diversified Banks (Primary),3482.3,5.07,0.3476,0.2139,0.6178, NA , NA , NA , NA ,516.1,9.29,822.9,0.6385
Intercorp Financial Services Inc. (BVL:IFS),BVL:IFS,Diversified Banks (Primary),3475.8,2.72,0.2053,0.0988,0.7949,1862.7,2544.9,828, NA ,888.3,0,1936,0.4588
The Commercial Bank (Q.S.C.) (DSM:CBQK),DSM:CBQK,Diversified Banks (Primary),3462,0.75,0.0524,0.1183,0.7463,-3659.3,-1536.8,1861,787,2426,0,3279.2,0.7398
First Citizens Bancshares Inc. (NasdaqGS:FCNC.A),NasdaqGS:FCNC.A,Regional Banks (Primary),3460.2,1.2,0.0766,0.1265,0.9858,1840.8,1868.8,1429,1182,91.06,128.32,1152.6,0.1903
Mashreqbank psc (DFM:MASQ),DFM:MASQ,Diversified Banks (Primary),3443.8,0.71,0.1226,0.1586,1.0131, NA , NA ,2098,1980,833,0,2871,0.2901
"Harbin Bank Co., Ltd. (SEHK:6138)",SEHK:6138,Regional Banks (Primary),3359.8,0.66,0.1409,0.1114,1.0129, NA , NA ,4630, NA ,339.95,0,2901.5,0.1172
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd. (SZSE:002807)",SZSE:002807,Regional Banks (Primary),3346.9,3,0.1126,0.1287,1.0341, NA , NA ,803, NA ,180.2,0,942.2,0.1913
Bank of Queensland Ltd. (ASX:BOQ),ASX:BOQ,Regional Banks (Primary),3345.3,1.36,0.0972,0.1062,0.806,1576.9,2250.9,1180,1127,663.9,39.75,1129.3,0.6231
Denizbank Anonim Sirketi (IBSE:DENIZ),IBSE:DENIZ,Diversified Banks (Primary),3323,1.17,0.1366,0.0816,0.9606,-290.3,1411.5,1360,1045,0,0,2931.9,0
Bank of Zhengzhou Co. Ltd. (SEHK:6196),SEHK:6196,Regional Banks (Primary),3188.7,1.16,0.2046,0.1009,0.9853, NA , NA ,2470,2432,203.66,0,1741.6,0.1169
Abu Dhabi Islamic Bank PJSC (ADX:ADIB),ADX:ADIB,Diversified Banks (Primary),3148.4,0.77,0.1307,0.1459,0.9442,575.4,1753.6,2568,2354,1266.49,1,2336.7,0.5424
Habib Bank Limited (KASE:HBL),KASE:HBL,Diversified Banks (Primary),3115.3,1.81,0.1954,0.1314,0.77, NA ,2395.2,896,608,772.2,0,1698.9,0.4545
CYBG PLC (LSE:CYBG),LSE:CYBG,Diversified Banks (Primary),3084.6,0.59,-0.0901,0.1566,0.8292, NA , NA ,684,247,43.5,337,-406.3,-0.9365
Bank of Hawaii Corporation (NYSE:BOH),NYSE:BOH,Regional Banks (Primary),3083.8,2.76,0.1537,0.1397,0.9967,578,928.6,326,361,578.1,375.94,1128.2,0.8456
Chemical Financial Corporation (NasdaqGS:CHFC),NasdaqGS:CHFC,Regional Banks (Primary),3045,3,0.0973,0.1075,0.7558,2475.2,2379.3,525,334,184.9,0,332.9,0.5554
PT Bank Danamon Indonesia Tbk (JKSE:BDMN),JKSE:BDMN,Diversified Banks (Primary),3018.5,1.23,0.0885,0.1883,0.8809,-1154.6,1610.6,1502,1222,657.2,0,1978.3,0.3322
Union National Bank PJSC (ADX:UNB),ADX:UNB,Diversified Banks (Primary),2996.6,0.62,0.0897,0.1828,0.9987,-972.6,1863.4,2777,2796,576.9,0,3056,0.1888
AMMB Holdings Berhad (KLSE:AMBANK),KLSE:AMBANK,Diversified Banks (Primary),2973.3,0.76,0.0818,0.1257,0.7865,99.5,1026.6,1785,1390,1176.2,93.31,3074.7,0.4129
"Mizrahi Tefahot Bank, Ltd. (TASE:MZTF)",TASE:MZTF,Diversified Banks (Primary),2946.7,0.97,0.1009,0.095,1.0382,1243.9,1799.3,1465, NA ,131.7,20,1834.2,0.0827
Saudi Hollandi Bank (SASE:1040),SASE:1040,Diversified Banks (Primary),2934.4,0.92,0.1661,0.1158,0.9753,-1475.2,114.4,1682,1668,497.2,0,2267.4,0.2193
UMB Financial Corporation (NasdaqGS:UMBF),NasdaqGS:UMBF,Regional Banks (Primary),2922.3,1.54,0.0663,0.1186,0.8878,1322.5,910.6,919,867,248.3,83.02,780.5,0.4245
Basler Kantonalbank (SWX:BSKP),SWX:BSKP,Regional Banks (Primary),2911.4,0.89,0.0347,0.1763,1.1186,-130.2,-348.5,1078, NA ,522.1,801.24,1180.7,1.1208
Metro Bank PLC (LSE:MTRO),LSE:MTRO,Regional Banks (Primary),2902,4.83,-0.1099,0.1326,0.7364, NA , NA , NA , NA ,0,0,-326.8,0
"Home Bancshares, Inc. (Conway, AR) (NasdaqGS:HOMB)",NasdaqGS:HOMB,Regional Banks (Primary),2889.9,2.41,0.1318,0.1126,0.7239,2528.3,2355.3,917,590,115.58,22.29,479.9,0.2873
Associated Banc-Corp (NYSE:ASB),NYSE:ASB,Regional Banks (Primary),2881,1.02,0.0653,0.1012,0.7163,-561.3,208,447,-101,379.2,548.09,753.44,1.2307
"Bank of Qingdao Co., Ltd. (SEHK:3866)",SEHK:3866,Regional Banks (Primary),2758,1.08,0.1177,0.1248,0.99, NA , NA ,1985, NA ,319.42,0,1113.2,0.2869
Boubyan Bank K.S.C.P. (KWSE:BOUBYAN),KWSE:BOUBYAN,Diversified Banks (Primary),2756,2.63,0.1205,0.1591,0.8157,-32.7,1090.1,559,352,32.3,3.67,166,0.2167
Central Bank of India (BSE:532885),BSE:532885,Diversified Banks (Primary),2703.6,0.97,-0.0755,0.082,0.9005, NA ,2350.7, NA , NA ,0,0,0,7
TMB Bank Public Company Limited (SET:TMB),SET:TMB,Diversified Banks (Primary),2679.2,1.26,0.1297,0.1134,0.8618,1875.8,1975.5,1403,507,233.4,0,1057.4,0.2207
"The Hachijuni Bank, Ltd. (TSE:8359)",TSE:8359,Regional Banks (Primary),2663.5,0.45,0.0472,0.1855,0.8903,-878.9,-297.7, NA , NA ,70.1,39.64,1527.6,0.0718
Banco Internacional del Perú S.A.A.- Interbank (BVL:INTERBC1),BVL:INTERBC1,Regional Banks (Primary),2660.2,2.55,0.2496,0.0988,0.9727,1439, NA ,745, NA ,549,0,1470.8,0.3733
Qatar International Islamic Bank (Q.S.C) (DSM:QIIK),DSM:QIIK,Diversified Banks (Primary),2660.1,1.75,0.1427,0.1671,0.8587,523.7,630.8,755,634,1040.2,0,1307.9,0.7953
Bank Handlowy W Warszawie SA (WSE:BHW),WSE:BHW,Diversified Banks (Primary),2657.1,1.53,0.0852,0.1708,0.6979,-2629.4,539,-165, NA ,1261.62,0,1707.6,0.7388
Bank muscat SAOG (MSM:BKMB),MSM:BKMB,Diversified Banks (Primary),2631.7,0.73,0.126,0.1346,0.9103,-2739.1,402.2,1772,1766,713.7,0,2397.9,0.2976
"Yamaguchi Financial Group, Inc. (TSE:8418)",TSE:8418,Regional Banks (Primary),2630,0.51,0.0631,0.1273,0.9161,-436.6,-274.7, NA , NA ,80.5,247.86,1921.9,0.1709
Doha Bank Q.S.C. (DSM:DHBK),DSM:DHBK,Diversified Banks (Primary),2610.8,0.72,0.097,0.1538,0.9334,-361.3,624.7,2278,2216,1924.8,0,2366.9,0.8132
Canara Bank Limited (BSE:532483),BSE:532483,Diversified Banks (Primary),2605.6,0.53,-0.0804,0.0889,0.919,-854.4,1021.6,2408,2517,0,0,0,7
"The Hiroshima Bank, Ltd. (TSE:8379)",TSE:8379,Regional Banks (Primary),2598.1,0.65,0.074,0.1133,0.8249,-780.5,-59.4, NA , NA ,78.1,2.41,1340.9,0.06
"Bank of Chongqing Co., Ltd. (SEHK:1963)",SEHK:1963,Regional Banks (Primary),2584.3,0.79,0.1542,0.1049,0.9957, NA , NA , NA , NA ,283.9,0,2040.8,0.1391
Hancock Holding Company (NasdaqGS:HBHC),NasdaqGS:HBHC,Regional Banks (Primary),2497.7,1.04,0.0444,0.0996,0.7646,1290.3,1054.8,1804,1295,459.6,258.2,826.1,0.8689
Bank Audi S.A.L. (BDB:AUDI),BDB:AUDI,Diversified Banks (Primary),2442.5,0.85,0.143,0.1022,0.8912, NA ,690.1,1208,942,1054.5,144.81,2385.1,0.5028
Cathay General Bancorp (NasdaqGS:CATY),NasdaqGS:CATY,Regional Banks (Primary),2396.6,1.37,0.0921,0.1403,0.8575,1077,1220.8,696,440,151.5,59.4,583.8,0.3613
MCB Bank Ltd. (KASE:MCB),KASE:MCB,Diversified Banks (Primary),2393.1,1.77,0.1594,0.1741,0.7841,-1682.4,1391.4,589,396,847.6,0,1500.1,0.565
United Bank Ltd. (KASE:UBL),KASE:UBL,Diversified Banks (Primary),2384.6,1.66,0.1839,0.1044,0.6515,114.9,1911.4,834,548,669.5,0,1269.5,0.5274
Zagrebacka banka d.d. (ZGSE:ZABA-R-A),ZGSE:ZABA-R-A,Diversified Banks (Primary),2380.2,0.98,0.0156,0.2047,0.941,-3894.9,197,-186,-174,694.92,0,1230.2,0.5649
The National Bank of Ras Al-Khaimah (P.S.C.) (ADX:RAKBANK),ADX:RAKBANK,Diversified Banks (Primary),2373,1.13,0.147,0.2437,0.8513,945.9,1013.1,1525,1387,834.7,0,2347.2,0.3556
Bank Albilad (SASE:1140),SASE:1140,Diversified Banks (Primary),2367.2,1.38,0.1191,0.1481,1,-852.5,129.1,860,894,53.3,24.43,932.1,0.0834
"The Chugoku Bank, Limited (TSE:8382)",TSE:8382,Regional Banks (Primary),2363.4,0.51,0.0543,0.1411,0.9133,-878.4,-1157.1, NA , NA ,67.9,13.21,1258,0.0645
QNB Alahli Bank (S.A.E) (CASE:QNBA),CASE:QNBA,Diversified Banks (Primary),2343.8,1.22,0.2201,0.1295,0.7131,52.7,1395.8,1131, NA ,526.6,0,1942.1,0.2711
HSBC Trinkaus & Burkhardt AG (DB:TUB),DB:TUB,Diversified Banks (Primary),2222.3,1.05,0.0854,0.103,0.8384,-2120.4,-1023.6,783, NA ,623.5,0,1247.7,0.4997
Guaranty Trust Bank Plc (NGSE:GUARANTY),NGSE:GUARANTY,Diversified Banks (Primary),2218.5,1.09,0.2125,0.1796,0.8096,-705,802.4,734,346,1400.7,17.72,2844.2,0.4987
Gulf Bank K.S.C.P. (KWSE:GBK),KWSE:GBK,Diversified Banks (Primary),2212.9,1.25,0.0767,0.1436,1,-4462.9, NA ,1636,1731,0,116.46,553,0.2106
Banca Transilvania SA (BVB:TLV),BVB:TLV,Diversified Banks (Primary),2189.9,1.46,0.14,0.2105,0.9316, NA , NA ,928,874,16.5,42.32,1108.5,0.0531
Burgan Bank K.P.S.C. (KWSE:BURG),KWSE:BURG,Diversified Banks (Primary),2171.5,0.84,0.0904,0.1467,0.9073,-970,-215,1449, NA ,270.2,140.96,949.9,0.4328
National Bank of Bahrain BSC (BAX:NBB),BAX:NBB,Diversified Banks (Primary),2152.3,2.22,0.1567,0.2893,0.9678,604.9,780.8,392,400,469.7,0,899.4,0.5222
Sydbank A/S (CPSE:SYDB),CPSE:SYDB,Diversified Banks (Primary),2143.6,1.29,0.1132,0.1593,0.9473,-614.9,1384,333,62,95.88,1558.11,712.3,2.322
Ahli Bank Q.S.C. (DSM:ABQK),DSM:ABQK,Diversified Banks (Primary),2098.3,1.68,0.1413,0.1593,0.94,844.5,1400.9,796,862,425.3,0,932.3,0.4562
BLOM Bank S.A.L. (BDB:BLBD),BDB:BLBD,Diversified Banks (Primary),2074.1,0.85,0.1732,0.1754,0.9926,187.5,530.1,1240,1163,791.3,105.09,2349,0.3816
"Vseobecná úverová banka, a.s. (BSSE:1VUB02AE)",BSSE:1VUB02AE,Diversified Banks (Primary),2066.1,1.27,0.1154,0.1613,0.8216, NA , NA ,455,478,506.5,0,1332.6,0.3801
Israel Discount Bank Limited (TASE:DSCT),TASE:DSCT,Diversified Banks (Primary),2065.3,0.61,0.0608,0.1039,1.1135,-425.5,1182.7,1082,1116,0,0,1435.4,0
"Jiangsu Changshu Rural Commercial Bank Co.,Ltd. (SHSE:601128)",SHSE:601128,Regional Banks (Primary),2053,1.65,0.1196,0.1133,1.0256, NA , NA ,1094, NA ,141.6,0,737.1,0.1921
Oberbank AG (WBAG:OBS),WBAG:OBS,Diversified Banks (Primary),2051.9,0.98,0.0907,0.1419,0.9022,12,305.9,839, NA ,131.4,0,1048.3,0.1253
Unione di Banche Italiane S.p.A. (BIT:UBI),BIT:UBI,Diversified Banks (Primary),2043.1,0.19,-0.0814,0.1208,0.7422,-15503.9,-7146.9,-4726,-1658,1195,2.39,-2071.7,-0.578
Basellandschaftliche Kantonalbank (SWX:BLKB),SWX:BLKB,Regional Banks (Primary),2029.2,0.98,0.0651,0.192,0.9615,-31,40.5,1416, NA ,507,13.26,831,0.6261
"The Gunma Bank, Ltd. (TSE:8334)",TSE:8334,Regional Banks (Primary),2022,0.45,0.067,0.1181,0.8696,-1261,-1060.8, NA , NA ,82.7,54.86,1458,0.0943
Privredna banka Zagreb d.d. (ZGSE:PBZ-R-A),ZGSE:PBZ-R-A,Diversified Banks (Primary),1992.4,1.06,0.0468,0.2227,0.8266,-4781.8,437.3,55,-125,512.7,0,1126,0.4553
Ahli United Bank K.S.C.P. (KWSE:ALMUTAHED),KWSE:ALMUTAHED,Diversified Banks (Primary),1985.4,1.69,0.1212,0.1432,1.0032,-294.7,482.5,294, NA ,376.5,0,849.1,0.4434
Banco Popolare Societa Cooperativa Scarl (BIT:BP),BIT:BP,Diversified Banks (Primary),1961.9,0.21,-0.0293,0.1315,0.6929,-12209.7,-2468.2,-4447, NA ,194.78,1883.91,-6106.9,-0.3404
BRD-Groupe Société Générale S.A. (BVB:BRD),BVB:BRD,Diversified Banks (Primary),1948.1,1.31,0.1007,0.191,0.8509, NA , NA ,29, NA ,306.6,0,774,0.3961
"Banregio Grupo Financiero, S.A.B de C.V. (BMV:GFREGIO O)",BMV:GFREGIO O,Regional Banks (Primary),1947.2,3.05,0.1722,0.1244,0.9219, NA , NA ,416, NA ,88.01,1.88,583.7,0.154
Great Western Bancorp. Inc. (NYSE:GWB),NYSE:GWB,Regional Banks (Primary),1936.3,1.31,0.0822,0.1086,0.5593, NA , NA , NA , NA ,151,60,317.8,0.6639
"Banco de Occidente, S.A. (BVC:OCCIDENTE)",BVC:OCCIDENTE,Diversified Banks (Primary),1934.7,1.52,0.1614,0.0961,0.7331, NA , NA ,649, NA ,684,0,1764.8,0.3876
Federal Bank Ltd. (NSEI:FEDERALBNK),NSEI:FEDERALBNK,Diversified Banks (Primary),1919.7,1.58,0.0603,0.1366,0.9896, NA ,1350,370, NA ,0,0,0,7
"The Iyo Bank, Ltd. (TSE:8385)",TSE:8385,Regional Banks (Primary),1898.4,0.38,0.0415,0.1412,0.8613,-1247.1,-2003.9, NA , NA ,58.9,1.6,1459.8,0.0414
Columbia Banking System Inc. (NasdaqGS:COLB),NasdaqGS:COLB,Regional Banks (Primary),1875.5,1.51,0.08,0.1195,0.6881,1343.5,1659,898,520,120.55,1.99,361.33,0.3391
Virgin Money Holdings (UK) plc (LSE:VM.),LSE:VM.,Diversified Banks (Primary),1856.1,0.94,0.0913,0.2007,0.9151, NA , NA , NA , NA ,9.14,7.37,899.4,0.0184
The Saudi Investment Bank (SASE:1030),SASE:1030,Diversified Banks (Primary),1853,0.58,0.0924,0.1407,0.9985,-4272.3,-131.3,1453,1537,442.7,0,1765.4,0.2508
Trustmark Corporation (NasdaqGS:TRMK),NasdaqGS:TRMK,Regional Banks (Primary),1844.1,1.25,0.0711,0.132,0.8285,391.7,606.5,500,271,430.8,0,774.4,0.5563
"Banco BPI, S.A. (ENXTLS:BPI)",ENXTLS:BPI,Diversified Banks (Primary),1837.4,0.7,0.113,0.1086,1.0696,-4051.4,-345.3,521,-415,179.2,7.43,606.9,0.3075
PT Bank Maybank Indonesia Tbk (JKSE:BNII),JKSE:BNII,Diversified Banks (Primary),1815.3,1.62,0.1084,0.1147,0.8796,352.5,184.9,678,603,15.3,0,512.65,0.0298
Banca Popolare di Milano Scarl (BIT:PMI),BIT:PMI,Diversified Banks (Primary),1815,0.36,0.0647,0.1206,0.913,-3872.2,-634.9,481,916,273.5,689.23,-438.4,-2.196
Al Khalij Commercial Bank (al khaliji) Q.S.C. (DSM:KCBK),DSM:KCBK,Diversified Banks (Primary),1769.5,1.08,0.1075,0.1381,0.8721,-1097.8,356.2,396,366,485.8,0,915.2,0.5308
"Banca popolare dell'Emilia Romagna, Società cooperativa (BIT:BPE)",BIT:BPE,Diversified Banks (Primary),1744.7,0.32,0.0432,0.1134,0.9054,-4081.5,-1646,1379, NA ,308.5,161.4,1090.38,0.4309
Norwegian Finans Holding ASA (OB:NOFI),OB:NOFI,Diversified Banks (Primary),1742.9,9.15,0.4522,0.1403,1.0446, NA , NA ,162,182,0,0,199.82,0
