Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Price to Book,Return on Equity,Tier 1 Capital/ Risk Adjusted Assets,Tier 1 Capital / Total Assets,Change in Market Cap (from start of 2008),Change in Market Cap (from start of 2009),Change in Common Equity (from start of 2009),Change in Tier 1 Capital (from start of 2009),Dividends Paid (since 2009),Buybacks since 2009,Net Income (since 2009),Cash Return/ Net Income
Rupali Bank Limited (DSE:RUPALIBANK),DSE:RUPALIBANK,Diversified Banks (Primary),99.1,0.6,0.0053,0.0621,0.7233, NA ,-43.5, NA , NA ,0,0,76.47,0
Sterling Bank plc (NGSE:STERLNBANK),NGSE:STERLNBANK,Diversified Banks (Primary),97.2,0.2,0.0655,0.1669,0.8515,-244.1,-126.4, NA , NA ,74.4,0,224.3,0.3317
Standard Bank Limited (DSE:STANDBANKL),DSE:STANDBANKL,Diversified Banks (Primary),94.1,0.64,0.1459,0.0945,0.9625,40.2,21.7,97,92,7.32,0,112.1,0.0653
PT Bank Artha Graha Internasional Tbk (JKSE:INPC),JKSE:INPC,Regional Banks (Primary),92.7,0.46,0.0316,0.1246,0.8473,30.4,66.2,117,90,0,0,71.18,0
Kentucky Bancshares Inc. (OTCPK:KTYB),OTCPK:KTYB,Regional Banks (Primary),92.2,1.03,0.0795,0.1234,0.915,1,45.3,32,32,17.7,1.14,42.21,0.4463
Wema Bank PLC (NGSE:WEMABANK),NGSE:WEMABANK,Diversified Banks (Primary),91.1,0.39,0.0372,0.1131,0.4196,-1184.1,-967.4, NA , NA ,0,0,29.07,0
Diamond Bank Plc (NGSE:DIAMONDBNK),NGSE:DIAMONDBNK,Diversified Banks (Primary),91.1,0.08,0.0084,0.1368,0.8379,-1649.9,-703.2, NA , NA ,62.1,0,328.67,0.1889
PT Bank Yudha Bhakti Tbk (JKSE:BBYB),JKSE:BBYB,Regional Banks (Primary),90.5,3.42,0.1298,0.1465,0.8491, NA , NA , NA , NA ,5.02,0,11.56,0.4344
Taipei Star Bank (GTSM:5863),GTSM:5863,Regional Banks (Primary),85.9,0.55,0.0352,0.0859,0.8439,16.3,36.6,31, NA ,22.57,0,47.04,0.4798
First Security Islami Bank Limited (DSE:FIRSTSBANK),DSE:FIRSTSBANK,Diversified Banks (Primary),83.9,0.68,0.1275,0.0762,0.9734, NA ,25.9,87,84,2.57,0,58.4,0.044
"First National Community Bancorp, Inc. (OTCPK:FNCB)",OTCPK:FNCB,Regional Banks (Primary),83.8,0.97,0.3979,0.0941,0.8689,-213.8,-89.3,-14,-42,2.74,0,-34.46,-0.0795
Fidelity Bank Plc (NGSE:FIDELITYBK),NGSE:FIDELITYBK,Diversified Banks (Primary),83.6,0.09,0.0433,0.1407,0.7831,-1560.6,-915.6, NA , NA ,161.36,0,389.7,0.4141
Djurslands Bank A/S (CPSE:DJUR),CPSE:DJUR,Regional Banks (Primary),83.6,0.66,0.0525,0.1747,0.8185,-119.8,10.4,17,4,4.73,0.67,51.38,0.105
Eagle Financial Services Inc. (OTCPK:EFSI),OTCPK:EFSI,Regional Banks (Primary),83.2,1.06,0.0995,0.1522,0.9872,12.1, NA ,31,22,12.72,0.27,39.12,0.3321
