Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation
JetBlue,18.31,FCFF,31.97,EV/EBITDA,24.12,,Buy
Jinko Solar,18.54,FCFF,17.18,EV/Sales,43.26,,Hold
Jollibee Foods Corp,302.8,FCFF,248.7,EV/Sales,281.79,,Sell
JPMorgan Chase & Co.,112.51,FCFE,88.19,PBV,86.96,,Sell
K12,31.71,FCFF,38.54,EV/Sales,58.61,,BUY
Kohl's,67.06,FCFF,51.43,P/E,50.11,,Sell
Koninklijke Philips N.V.,36.99,FCFF,34.01780590773476,EV/EBITDA,38.83954091203089,,Hold
Koninklijke Philips N.V.,36.99,FCFF,34.01780590773476,EV/EBITDA,38.83954091203089,,Hold
Kroger (KR),25.83,FCFF,19.78,EV/EBITDA,42.9,,Sell
Kweichow Moutai,974,FCFF,1016,EV/Inv Cap,1247,,Hold
L'Oreal,235.8,FCFF,124.47,EV/EBITDA,198.91,,Sell
La Crosse Lumber (Private),3.2,FCFF,3.2,EV/EBITDA,2.18,,Sell
Lazard Ltd,37.05,Dividends,56.03,PE,56.4,,Buy
Liberty Media Corporation ,31.74,FCFF,31.74,EV/Sales,17.71,,Buy
Lockheed Martin,341.35,FCFF,275.11,EV/EBITDA,261.27,,Sell
Lockheed Martin,341.35,FCFF,275.11,EV/EBITDA,261.27,,Sell
Lulu Lemon Athletica,173.68,FCFF,110.34,EV/Sales,75,,Sell
Lululemon,173.68,FCFF,133.83,EV/Sales,143.33,,Sell
Lululemon,175.17,FCFF,121.54,EV/EBITDA,93.89,,Sell
LuLuLemon,175.17,FCFF,164.49,EV/SALES,68.07,,Sell
Lululemon,178.64,FCFF,170.08,PE,167.5,,Sell 
Lululemon,173.98,FCFF,113,EV/EBITDA,116.71,,Sell
Lululemon,173.71,FCFF,156.38,EV/EBITDA,167.12,,Sell
Lululemon,173.68,FCFF,165.19,EV/Sales,151.33,,Sell
Lululemon (LULU),173.68,FCFF,194.43,EV/Sales,200.98,,Buy
Lululemon Athletica,175.83,FCFF,99.06,Market Cap/EBITDA ,113,,Sell Cautiously
Lululemon Athletica Inc.,175.17,FCFF,162.02,EV/EBITDA,168.83,,Hold
Lumentum Holdings inc.,59.13,FCFF,50.08,EV/Sales,46.52,,Sell
Lyft,51.09,FCFF,65.57,EV/Sales,86.84,,Buy
Macy's,22.46,FCFF,12.73,EV/EBITDA,35.14,,Sell
Macy’s Inc.,22.99,FCFF,40.07,EV/EBITDA,18.34,,Hold
Magazine Luiza SA (MGLU3),185.9,FCFF,129.34,EV/Sales,120.42,,Sell
Maruti Suzuki,94.71,FCFF,32.64,EV/EBIT,51.41,,Sell
Masco,37.94,FCFF,48.1,EV/EBITDA,38.89,,Buy
Masco Corp,37.94,FCFF,48.1,EV/EBITDA,38.89,,Buy
"Match Group, Inc.",67.27,FCFF,139.24,EV/EBITDA,77.5,,Hold
MediaZest,0.08,FCFF,0,Price/Sales,0.0733,0.08,Sell
Medmen,2.54,FCFF,3.62,EV/Sales,15.57,2.18,Buy
Meituan Dianping,45.01,FCFF,26.19,EV/EBITDA,46.4,,Sell
Mercari,3230,FCFF,1942.19,Other,2906.2,,Sell
Merck,78.19,FCFF,35.61,PBV,31.63,,Sell
Merck & Co. ,78.33,FCFF,69.4,PBV,119.31,,Buy
