Industry,Number of firms,Interest Coverage Ratio,Fixed Charge Coverage ratio
HAZARDOUS WASTE MANAGEMENT,22,1.1025474640487303,1.2938661202185795
HEALTH SERVICES,9,3.2166389524007486,1.6568194089815045
"HEATING EQ, PLUMBING FIXTURE",1,7.273760330578513,6.247799593771158
"HEATING EQ,EX ELEC,AIR FURNC",3,Negative EBIT,EBITDA Negative
HEAVY CONSTR-NOT BLDG CONSTR,10,1.9032067629164073,2.4920677133814717
HELP SUPPLY SERVICES,35,3.927478086679984,1.8465351509361236
"HOBBY, TOY, AND GAME SHOPS",6,4.54631058301008,1.543724617137941
HOME FURNITURE & EQUIP STORE,8,27.997065930272697,1.545976079934237
HOME HEALTH CARE SERVICES,10,2.376079864123462,2.03093957820326
HOSPITAL & MEDICAL SVC PLANS,19,9.38648881871259,5.1971132502180595
HOSPITALS,8,6.641410184667039,3.08716271463614
"HOTELS, OTHER LODGING PLACES",1,2.2803553800592304,4.948667324777888
"HOTELS,MOTELS,TOURIST COURTS",28,1.7443213006829148,1.6204401468756904
HOUSEHOLD APPLIANCES,6,4.126397734653539,4.168905844902209
HOUSEHOLD AUDIO & VIDEO EQ,17,3.333180763261128,4.786579076180542
HOUSEHOLD FURNITURE,8,6.231751421510518,4.183013103947263
ICE CREAM & FROZEN DESSERTS,3,2.107563599112173,2.1877424917373185
"IN VITRO,IN VIVO DIAGNOSTICS",67,Negative EBIT,EBITDA Negative
"INDL COML FANS,BLOWRS,OTH EQ",13,6.068249508288845,5.689473186418235
INDL INORGANIC CHEMICALS,23,2.6162062119449705,3.3143047631325193
"INDL PROCESS FURNACES, OVENS",1,Negative EBIT,EBITDA Negative
"INDL TRUCKS,TRACTORS,TRAILRS",5,1.2832345291937706,1.5243904456965096
INDUSTRIAL MACH & EQ-WHSL,6,3.437011794728161,2.653746578279081
INDUSTRIAL MEASUREMENT INSTR,22,10.882170045676736,6.6973422307988155
INDUSTRIAL ORGANIC CHEMICALS,16,0.8121449088835545,2.0089525168288493
"INS AGENTS,BROKERS & SERVICE",35,7.191228318933722,3.72412098493485
"INSURANCE CARRIERS,NEC",3,NMF,NMF
INVESTMENT ADVICE,23,1.258961379546764,1.310284582262915
"INVESTORS, NEC",26,2.9528766113648186,4.21919918600152
IRON AND STEEL FOUNDRIES,4,3.2924792364520714,4.046785757686232
JEWELRY & WATCHES-WHSL,3,6.700830215154351,5.364002034852769
JEWELRY STORES,10,7.145871405057222,1.333906971990861
"JEWELRY, PRECIOUS METAL",5,1.5181484502446982,2.340355376442572
"JEWELRY,SILVERWR,PLATED WARE",2,0.832607996569836,1.095421686746988
KNIT OUTERWEAR MILLS,4,2.8726161331067073,2.707666495985358
KNITTING MILLS,2,Negative EBIT,EBITDA Negative
LAB ANALYTICAL INSTRUMENTS,37,5.787015112981963,3.735465165567405
LAB APPARATUS AND FURNITURE,10,4.63732083157207,4.057360186237886
"LAWN, GARDEN TRACTORS, EQUIP",1,Negative EBIT,0.2694422118630445
LEATHER AND LEATHER PRODUCTS,6,2.7968226014950264,1.8005946213793418
LEGAL SERVICES,3,29.644155844155843,2.4523536165327213
"LESSORS OF REAL PROPERTY,NEC",2,NMF,NMF
LIFE INSURANCE,40,6.305302408704154,5.542998259113275
LOAN BROKERS,4,Negative EBIT,EBITDA Negative
LUMBER & OTH BLDG MATL-RETL,5,17.842623174990536,7.242395717944085
LUMBER AND CONSTR MATL-WHSL,2,1.2445361826129189,0.7520795487140263
"LUMBER AND WOOD PDS, EX FURN",8,1.306703995348661,3.0746594634529254
"LUMBER, PLYWD, MILLWORK-WHSL",2,2.6044053733702093,1.232281483611271
"MACHINE TOOLS, METAL CUTTING",2,2.3894708568358856,2.9258552108194116
MACHINERY AND EQUIPMENT-WHSL,12,3.6746714418188207,1.8002957364659493
"MAGNETC,OPTIC RECORDNG MEDIA",3,Negative EBIT,1.339698661726412
"MAILING,REPRO,COMML ART SVCS",4,Negative EBIT,1.483203047146622
MALT BEVERAGES,8,9.622037226539812,11.524313980946179
MANAGEMENT CONSULTING SVCS,35,25.067119331928513,5.624359744190168
MANAGEMENT SERVICES,14,1.7273558492660044,1.5414847442162316
MANIFOLD BUSINESS FORMS,7,3.3674343379120253,2.6740065818556906
"MEAS & CONTROLLING DEV, NEC",21,Negative EBIT,1.1379924911983403
MEAT PACKING PLANTS,2,7.446493669749484,4.665521057843538
"MED, DENTAL, HOSP EQ-WHSL",8,4.838133352390481,2.3268700313789807
MEDICAL LABORATORIES,25,3.978655093076762,3.037278133369649
"MEDICINAL CHEMS,BOTANICL PDS",14,1.1230097143185604,2.467181552137655
MEMBERSHIP ORGANIZATIONS,1,Negative EBIT,EBITDA Negative
MEMBERSHIP SPORT & REC CLUBS,1,2.2388866231647633,1.185127789984966
"MEN,YTH,BOYS FRNSH,WRK CLTHG",16,8.599080050448846,4.78063199924714
METAL CANS,4,1.14461251898807,1.9598458104140521
"METAL DOORS,FRAMES,MOLD,TRIM",3,6.088924661944624,2.5072575200660117
METAL FORGINGS AND STAMPINGS,9,Negative EBIT,1.3645871838918007
METAL MINING,18,3.6448242671722326,5.010988496684234
