Name,Broad Category Group,Global Category,Morningstar Institutional Category,Morningstar Category,Morningstar Rating Overall,Equity Style Box (Long),Inception Date,Fund Size Base Currency,Manager Tenure (Average),Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Management Fee,Annual Report Net Expense Ratio,Annual Report Gross Expense Ratio,Turnover Ratio %,Prospectus Objective,Tax Cost Ratio 1 Yr,Tax Cost Ratio 3 Yr,Tax Cost Ratio 5 Yr,Post-tax Return 1 Yr (Daily) Base Currency,Post-tax Return 3 Yr (Daily) Base Currency,Post-tax Return 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Beta 2009-06-01 to 2012-05-31 Base Currency,Correlation 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Morningstar Risk 2009-06-01 to 2012-05-31,R2 2009-06-01 to 2012-05-31 Base Currency,Residual Std Dev 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Std Dev 2009-06-01 to 2012-05-31 Base Currency,Tracking Error 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
Legg Mason ClearBridge Small Cap Gr R,Equity,US Equity Small Cap,Small High Growth,US OE Small Growth,4,Small Growth,39079,842058623,5.25,9.26136,16.37119,20.06645,3.54452,0.75,1.52,1.56,24,Small Company,0,0,0.37,,,,3.076742571589474,0.11044040795720872,1.129770497684366,0.9161393247887553,5.0896553172010925,4.428990135273647,0.6210677306226738,16.453231962546905,4.453033435982222,83.93112624243965,8.042156782971299,1.019824725141068,19.776938732001014,8.19500847693097,17.619185270011904
MassMutual Select Mid Cap Gr Eq II S,Equity,US Equity Mid Cap,Mid Core Growth,US OE Mid-Cap Growth,4,Mid Growth,36677,1544525135,5.25,3.58111,12.40077,19.49873,3.5752,0.75,0.86,0.96,38,Growth,1.18,0.4,0.78,,,,2.100315985709111,0.11515310509589362,1.088479174250166,0.9585262884789706,3.5535788942940414,3.092304858946715,0.6605271108788097,16.448981628551923,3.6931086315986175,91.87726457052707,5.265242299469997,1.0195596515202845,18.21274986357255,5.379913762458775,16.876353469088478
Wells Fargo Advantage Large Cap Gr A,Equity,US Equity Large Cap Growth,Large High Growth,US OE Large Growth,4,Large Growth,40389,517235445,7.22,11.65665,,,,0.65,1.12,1.25,47,Growth,0,,,,,,1.8519419441133458,0.12066813441740028,1.0532662029083806,0.9681620547345198,2.796036803068013,2.433095887023695,0.6284066134582972,16.44747576502715,3.3123677669366405,93.73377642277673,4.430412325174785,1.0194657377955305,17.44687699851791,4.449407029121863,16.721335165345014
Wells Fargo Advantage Large Cap Gr A LW,Equity,US Equity Large Cap Growth,Large High Growth,US OE Large Growth,5,Large Growth,40389,517235445,7.22,11.65665,,,,0.65,1.12,1.25,47,Growth,0,,,,,,1.8519419441133458,0.12066813441740028,1.0532662029083806,0.9681620547345198,2.796036803068013,2.433095887023695,0.6284066134582972,16.44747576502715,3.3784028142623157,93.73377642277673,4.430412325174785,1.0194657377955305,17.44687699851791,4.449407029121863,16.721335165345014
MainStay Income Builder C,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Value,36039,648379036,2.81,4.83828,10.32865,12.25683,1.38879,0.64,2.15,2.15,33,Balanced,1.07,0.92,1.17,,,,1.2309479405253119,0.11569465307311401,0.6539447284691966,0.960763095214308,-3.7381583554893396,-3.2529248934793475,-0.5913982644072029,16.441740117642116,1.287130826900416,92.30657251257774,3.0713957211643224,1.0191080320665966,10.917012668199074,6.320881511609338,16.939997459014272
Principal SAM Balanced A,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,3,Large Blend,35271,3365964652,2.42,3.84217,8.4785,12.25898,2.40329,0.34,0.7,0.7,29.6,Balanced,0.75,0.79,1.33,,,,0.9904193885615271,0.1529925056988952,0.689015290604869,0.9863859640771192,-3.4488314712893384,-3.001154226090441,-0.6487889598815821,16.438697338064635,1.3159633881095543,97.29572701283479,1.8687807549280064,1.0189182680149242,11.204209746925185,5.315798641084805,16.49767295124182
Principal SAM Balanced A Load Waived,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,4,Large Blend,35271,3365964652,2.42,3.84217,8.4785,12.25898,2.40329,0.34,0.7,0.7,29.6,Balanced,0.75,0.79,1.33,,,,0.9904193885615271,0.1529925056988952,0.689015290604869,0.9863859640771192,-3.4488314712893384,-3.001154226090441,-0.6487889598815821,16.438697338064635,1.3410136668185348,97.29572701283479,1.8687807549280064,1.0189182680149242,11.204209746925185,5.315798641084805,16.49767295124182
Baron Growth Instl,Equity,US Equity Mid Cap,Mid High Growth,US OE Mid-Cap Growth,4,Mid Growth,39962,5861709764,17.5,3.39881,12.08573,17.86804,,1,1.06,1.06,13.51,Growth,0.25,0.08,,,,,2.5848026974409777,0.1095184564128772,0.983580566622131,0.920071351744134,2.4747965697327956,2.153554398293367,0.36825705329600344,16.43565757974755,3.2912896657327764,84.65312923002779,6.813173697151156,1.0187286923852519,17.145477207164966,6.720296454834131,17.57942109735564
Allianz AGIC Income & Growth R,Allocation,Moderate Allocation,Flexible Allocation,US OE Moderate Allocation,4,Large Blend,40602,954579586,5.33,1.96922,,,,1.05,1.56,1.56,192,Growth and Income,3.04,,,,,,1.3609394068758878,0.11842759246995674,0.7696928098214576,0.9666522594174928,-1.880132014628666,-1.636080564760467,-0.3811854080883218,16.431529142429344,1.7547644840638412,93.44165906369439,3.3173803356252956,1.0184712208949158,12.771749976261075,4.932329451060817,16.80650801774453
Invesco Moderate Allocation B,Allocation,Moderate Allocation,Moderate Allocation,US OE Moderate Allocation,2,Large Blend,38107,751170291,2,3.3599,7.72217,11.29769,0.10388,,1.12,1.26,26,Asset Allocation,0.01,0.77,1.01,,,,1.1983992666495555,0.113314947109836,0.6192217299123526,0.9570169254206344,-4.289253146208537,-3.732484557067395,-0.6301406284800741,16.42873551319499,1.1446332815172156,91.58813955415643,3.052978255931741,1.0182969951947354,10.378503185670438,6.806818910493674,16.99993191352437
