Name,Total Ret 1 Yr (Daily) Base Currency,Total Ret Annlzd 2 Yr (Daily) Base Currency,Total Ret Annlzd 3 Yr (Daily) Base Currency,Total Ret Annlzd 5 Yr (Daily) Base Currency,Alpha 2009-06-01 to 2012-05-31 Base Currency,Appraisal Ratio 2009-06-01 to 2012-05-31 Base Currency,Excess Return 2009-06-01 to 2012-05-31 Base Currency,Excess Return (geo) 2009-06-01 to 2012-05-31 Base Currency,Information Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency,M-Squared 2009-06-01 to 2012-05-31 Base Currency,Sharpe Ratio 2009-06-01 to 2012-05-31 Base Currency,Treynor Ratio (arith) 2009-06-01 to 2012-05-31 Base Currency
Wells Fargo Advantage DJ Target Today C,2.80975,5.20784,6.25548,3.77868,3.263589186310944,0.3040538211948897,-8.898879582454455,-7.743756193563378,-0.6518924678312127,22.956731267399288,1.4254178174803511,34.7577103975374
Wells Fargo Advantage DJ Target Today B,2.74489,5.17731,6.24672,3.77841,3.238334746687768,0.30243846847141315,-8.905916686959392,-7.749879843298146,-0.6534221518615446,22.88819664734154,1.4211436310495507,34.46349443932251
Wells Fargo Advantage DJ Target Tod Adm,3.71288,6.15518,7.19808,4.78201,4.14792666544752,0.38617446312104653,-7.921621907528231,-6.893351926060076,-0.5820087229289195,26.383483247736066,1.639128447286608,39.89112799968928
Wells Fargo Advantage DJ Target Today A,3.60604,5.95769,7.03456,4.55624,4.023085930183698,0.3768495029881903,-8.088803527732157,-7.038832454806276,-0.5929461428881285,26.00461053887795,1.615499913418069,39.43558241986609
Wells Fargo Advantage DJ Target Tod Inv,3.6589,6.06388,7.15814,4.73028,4.105909231198613,0.3778305201226757,-7.961875426817677,-6.928380317715699,-0.584856640590917,26.049655411582897,1.6183091532377452,39.57691003327377
Wells Fargo Advantage DJ Target Today I,4.05791,6.51436,7.57141,5.10373,4.5211668653755135,0.4244761762913084,-7.548556984653576,-6.568712876801808,-0.5537952290227008,27.9850840493243,1.7390128620238507,42.4500854901386
Wells Fargo Advantage DJ Target Tod A LW,3.60604,5.95769,7.03456,4.55624,4.023085930183698,0.3768495029881903,-8.088803527732157,-7.038832454806276,-0.5929461428881285,26.00461053887795,1.615499913418069,39.43558241986609
MFS Global Total Return R5,,,,,,,,,,,,
MFS Global Total Return A,2.22829,8.60578,9.1973,2.99187,-0.9816011988302509,-0.06970207972935913,-6.7286582610789125,-5.855241505496345,-0.9173291005615759,12.645088041144309,0.7823284486361562,13.111093041119728
MFS Global Total Return C,1.42933,7.77916,8.37669,2.24917,-1.712550865100782,-0.12203387294822586,-7.536307742935944,-6.558053653858242,-1.025293746710003,11.540821124032263,0.7134604419393203,11.83454506436356
MFS Global Total Return B,1.47056,7.75426,8.37347,2.24614,-1.7398679766483038,-0.12339052508177548,-7.523502860754605,-6.5469109156313765,-1.027633412551371,11.512178763156975,0.7116741507175102,11.798820694179659
MFS Global Total Return I,2.50732,8.86762,9.45634,3.28589,-0.7609256635415993,-0.05385474131437769,-6.4801027738473405,-5.638949884078215,-0.8838677451730913,12.97452911230271,0.8028741604954635,13.496519928783906
MFS Global Total Return R2,1.99432,8.30617,8.93455,2.75298,-1.2301989465112961,-0.08702536327292587,-6.969329735967533,-6.064672502625157,-0.9523081604442944,12.275818154553072,0.7592987982603089,12.682589050700793
MFS Global Total Return R,5.1559,9.56384,10.23748,13.05817,,,,,,,,
MFS Global Total Return R1,1.44788,7.77371,8.39559,2.2326,-1.7280487285398887,-0.12311331066164982,-7.521190616228091,-6.544898813129341,-1.0273032242911526,11.53212159975766,0.7129178929534561,11.81694090353742
MFS Global Total Return R2,4.86205,9.29663,9.94526,,,,,,,,,
MFS Global Total Return R3,2.24597,8.59802,9.20172,3.00729,-0.9486696530399912,-0.06781256465449699,-6.700223801267047,-5.83049799455897,-0.9143266432975815,12.703443810976253,0.7859678273817368,13.16899730989871
MFS Global Total Return R4,2.48591,8.83488,9.46809,3.26225,-0.7156490802042152,-0.05122358066024733,-6.433392476313449,-5.598302839416059,-0.8799827604735785,13.061541532297438,0.8083007216194501,13.578455842250685
