Company Name,Exchange:Ticker,Industry Classifications,Market Cap Class,Enterprise Value,Market Cap,Invested Capital,PE,PBV,EV/EBITDAR,EV/EBITDA,EV/EBIT,EV/Sales,EV/Invested Capital,ROE,ROIC,R&D/Sales,Operating Margin adjusted for R&D,Dividend Payout Rate,(Dividends + Buybacks)/ Net Income,Revenue Growth Rate (last 5 years),Expcted growth in EPS,Operating Margin,R&D Effect on Earnings,EBITDAR
"Progenics Pharmaceuticals, Inc. (NasdaqGS:PGNX)",NasdaqGS:PGNX,Biotechnology (Primary),5,421.49999999999994,540.8,5.6000000000000085,189.75438596491225,4.32986389111289,NA,NA,NA,9.734411085450345,75.26785714285703,0.022818254603682947,NA,0,-0.02471131639722864,0,0,0.10400000000000001,NA,-0.02471131639722864,0,-0.537
"Concert Pharmaceuticals, Inc. (NasdaqGM:CNCE)",NasdaqGM:CNCE,Biotechnology (Primary),5,469.6000000000001,541.7,-17.300000000000004,35.40522875816993,9.885036496350367,NA,NA,NA,45.59223300970874,NA,0.2791970802919708,NA,0,-3.2718446601941746,0,0,NA,NA,-3.2718446601941746,0,-32.9
"Sagent Pharmaceuticals, Inc. (NasdaqGS:SGNT)",NasdaqGS:SGNT,Pharmaceuticals (Primary),5,483.05000000000007,549.2,209.65,21.28682170542636,1.9912980420594635,9.39785992217899,20.381856540084392,41.64224137931035,1.51568873548792,2.304078225614119,0.09354604786076867,0.05533031242547102,0.08691559460307499,0.08643238155004707,0,0,0.45,0.07,0.036397866331973644,15.946,51.4
Sangamo Biosciences Inc. (NasdaqGS:SGMO),NasdaqGS:SGMO,Biotechnology (Primary),5,373,552,27.599999999999994,NA,2.6718296224588576,NA,NA,NA,8.215859030837004,13.514492753623191,-0.15004840271055178,NA,0,-0.9792951541850221,NA,NA,0.115,NA,-0.7819383259911894,-8.96,-34.6
Blueprint Medicines Corporation (NasdaqGS:BPMC),NasdaqGS:BPMC,Biotechnology (Primary),5,525.7399999999999,563.9,-2.3600000000000065,NA,15.751396648044693,NA,NA,NA,157.4071856287425,NA,-1.3826815642458101,NA,9.520958083832335,-6.368263473053891,NA,NA,NA,NA,-14.461077844311378,27.03,-15.8
"Amphastar Pharmaceuticals, Inc. (NasdaqGS:AMPH)",NasdaqGS:AMPH,Pharmaceuticals (Primary),5,544.0000000000001,568.1,257.79999999999995,NA,2.0152536360411495,29.24731182795699,NA,NA,2.4038886433937257,2.1101629169899154,-0.053919829726853497,NA,0.14803358373840034,-0.0517454706142289,NA,NA,NA,NA,-0.12814847547503314,17.29,18.6
"Intersect ENT, Inc. (NasdaqGM:XENT)",NasdaqGM:XENT,Pharmaceuticals (Primary),5,531,579.4,5.399999999999999,NA,10.769516728624536,NA,NA,NA,10.641282565130261,98.33333333333336,-0.3847583643122677,NA,0.2545090180360721,-0.22060120240480968,NA,NA,NA,0.2,-0.41683366733466937,9.791999999999998,-7.5
Geron Corporation (NasdaqGS:GERN),NasdaqGS:GERN,Biotechnology (Primary),5,430.6,582,-20.700000000000017,NA,4.452945677123183,NA,NA,NA,381.06194690265494,NA,-0.28462127008416227,NA,9.91150442477876,-30.787610619469028,NA,NA,-0.179,NA,-32.30088495575222,1.7100000000000009,-25.3
"Esperion Therapeutics, Inc. (NasdaqGM:ESPR)",NasdaqGM:ESPR,Biotechnology (Primary),5,495.54,596.4,32.739999999999995,NA,4.4640718562874255,NA,NA,NA,NA,15.135613927916925,-0.3226047904191617,NA,NA,NA,NA,NA,NA,NA,NA,0,-42.7
"Enanta Pharmaceuticals, Inc. (NasdaqGS:ENTA)",NasdaqGS:ENTA,Biotechnology (Primary),5,507.902,598.5,59.60199999999999,8.788546255506608,3.9846870838881494,3.7073138686131384,4.389818496110631,4.4127019982623805,3.4064520456069753,8.521559679205398,0.4533954727030626,1.9311432502265027,0.14285714285714288,0.8796109993293093,0,0,NA,NA,0.7719651240778002,16.05,137
