Company Name,Exchange:Ticker,Market Cap Class,"Market Capitalization [Latest] ($USDmm, Historical rate)",Enterprise Value,Invested Capital including capitalized R&D,Adjusted Net Income,Adjusted EBIT,Total Debt including leases,PE,Non-cash PE,EV/Sales,EV/EBIT,EV/Invested Capital,EV/EBITDA,Capitalized R&D,EV/EBITDAR&D,Only +Taxable Income,Missing Taxable Income,Only +'ve Taxes,Operating Margin,Net Margin,Pre-tax ROIC,ROE,Only +ve Net Income,Only +'ve Mkt Cap,Capitalized leases,Turnover Ratio,Coefficient of variation in operatingincome,Coefficient of variation in net income
Metalart Corporation (TSE:5644),TSE:5644,6,34.9,45.031730769230755,107.9,6.5,7.45,29.23173076923077,5.369230769230769,2.4741622298778574,0.21764973788898384,6.044527620030974,0.41734690240250927,2.5586210664335653,0,2.5586210664335653,10.8,1,6.55,0.03600773320444659,0.03141614306428226,0.0690454124189064,0.060240963855421686,6.5,34.9,0.03173076923076923,0.20773638968481375,0.5185405542367695,0.6295376585272668
Aska Corp. (NSE:7227),NSE:7227,6,32.8,106.71354682520965,257.12,-3.280000000000001,-2.6499999999999986,84.51354682520964,16.07843137254902,12.443946188340805,0.6823116804680923,NA,0.4150340184552335,11.662682713137666,133.62,2.019177801801507,5.16,1,3.12,-0.01694373401534526,-0.020971867007672642,-0.010306471686372116,-0.012756689483509649,2.04,32.8,0.013546825209649815,0.05335365853658537,1.0616557388837038,1.0960117482471456
"Sammok Kang Up Co., Ltd. (KOSDAQ:A158380)",KOSDAQ:A158380,6,32.3,39.50999999999999,55.00999999999999,1.61,1.79,9.37,20.06211180124223,18.74378109452736,0.6673986486486485,22.072625698324018,0.7182330485366296,NA,0,NA,1.9,1,0.281,0.030236486486486486,0.027195945945945946,0.032539538265769864,0.029267405926195245,1.61,32.3,0,0.18575851393188855,0.4734314917857457,0.5659384931845156
Hanil Forging Industrial Co. Ltd. (KOSDAQ:A024740),KOSDAQ:A024740,6,32,113.59,153.29000000000002,2.18,5.27,89.9,14.678899082568806,11.584352078239608,0.848319641523525,21.55407969639469,0.7410137647596059,10.61588785046729,0,10.61588785046729,2.96,1,0.907,0.03935772964899178,0.01628080657206871,0.03437928110118076,0.014221410398590905,2.18,32,0,0.1796875,0.3462204459545265,1.6333790579693823
"US Highland, Inc. (OTCPK:UHLN)",OTCPK:UHLN,6,31.9,33.731641905281,-90.926,-51.8,-0.499,1.8376419052810045,NA,-0.6157142857142858,3066.512900480091,NA,NA,NA,0,NA,NA,1,NA,-45.36363636363637,-4709.090909090909,NA,NA,NA,NA,0.2576419052810045,0.08620689655172414,1.8992177619223476,1.0559054491703872
"Chasys Co., Ltd. (KOSE:A033250)",KOSE:A033250,6,31.8,69.514,60.114,-4.14,-2.68,38.4,NA,-7.319219007292403,1.3240761904761904,NA,1.1563695644941279,37.575135135135135,0,37.575135135135135,NA,1,NA,-0.05104761904761905,-0.07885714285714285,-0.044581960940879004,-0.06886914861762651,NA,NA,0,13.20754716981132,1.8162245266859773,3.320968602879316
"Guyoung Tech. Co., Ltd. (KOSDAQ:A053270)",KOSDAQ:A053270,6,30.2,92.42,109.2688,2.2774,4.337400000000001,69.6,13.603603603603602,11.252465483234714,0.6044473512099411,21.30769585465947,0.8458041087666379,7.513821138211382,0.14880000000000002,7.4664727742769434,3.22,1,0.939,0.028367560497056903,0.014894702419882276,0.039694771059991515,0.020842180018449917,2.22,30.2,0,7.980132450331126,0.8159836340253657,16.10485396434185
"Woosu AMS Co., Ltd. (KOSDAQ:A066590)",KOSDAQ:A066590,6,28.7,68.38,74.55640000000001,5.332800000000001,5.6528,49.1,7.884615384615384,5.6160792309933,0.3380128521997034,12.096660062270024,0.9171580172862421,8.007025761124122,5.0764000000000005,6.193840579710145,3.87,1,0.229,0.027942659416707857,0.02636085022244192,0.075819111437784,0.07152705870991626,3.64,28.7,0,4.041811846689895,1.2295687680610645,1.9264826430711965
"Nitto Kako Co., Ltd. (TSE:5104)",TSE:5104,6,28.1,45.7,39.94500000000001,-1.3370000000000002,-1.2800000000000002,19.5,NA,-61.64705882352942,0.5600490196078433,NA,1.1440731005132054,NA,4.645,NA,NA,1,NA,-0.015686274509803925,-0.01638480392156863,-0.03204406058330204,-0.033471022656152205,NA,NA,0,1.9661921708185053,1.9126480312300398,5.142038305637206
"Pungkang Co., Ltd. (KOSDAQ:A093380)",KOSDAQ:A093380,6,27.4,38.53999999999999,63.328199999999995,2.7202,1.8002,12.2,10.300751879699247,10.394632991318073,0.4775712515489466,21.408732363070765,0.6085756424468087,7.454545454545453,0.3882,7.232126102458246,2.61,1,-0.001,0.02230731102850062,0.033707558859975215,0.02842651457012832,0.04295400785116268,2.66,27.4,0,0.8029197080291971,0.29458747996366563,0.3896541506809046
Automodular Corp. (TSXV:AM.H),TSXV:AM.H,6,26.6,-14.332692307692305,0.6000000000000014,6.66,10.6,0.3673076923076923,3.993993993993994,-2.358036573628488,-0.3771761133603238,-1.3521407837445572,-23.88782051282045,-1.0022861753630983,0,-1.0022861753630983,8.83,1,2.16,0.2789473684210526,0.17526315789473684,17.666666666666625,11.099999999999975,6.66,26.6,0.3673076923076923,0.06578947368421052,0.606740343782075,0.9220119510780087
