Company Name,Exchange:Ticker,Geographic Region,Trailing PE,Expected growth rate,Emerging Market Dummy,ROE,Debt/Equity Ratio,Payout Ratio,"Market Capitalization [Latest] ($USDmm, Historical rate)"
Nestle Malaysia Bhd. (KLSE:NESTLE),KLSE:NESTLE,Asia / Pacific,29.212607449856737,0.027999999999999997,1,0.8079999999999999,0.006375549278091651,0.893,5097.6
Campbell Soup Company (NYSE:CPB),NYSE:CPB,United States and Canada,29.339301310043666,0.0558,0,0.645,0.3331745724619346,0.8009999999999999,13437.4
Genting Plantations Berhad (KLSE:GENP),KLSE:GENP,Asia / Pacific,29.743436754176614,0.111,1,0.0736,0.09279839518555667,0.215,2492.5
Associated British Foods plc (LSE:ABF),LSE:ABF,Europe,29.813948427809812,0.09519999999999999,0,0.102,0.08611050288300123,0.368,27402
"Treehouse Foods, Inc. (NYSE:THS)",NYSE:THS,United States and Canada,30.677236693091736,0.10800000000000001,0,0.0759,0.33225044300059065,0,2708.8
Omega Protein Corporation (NYSE:OME),NYSE:OME,United States and Canada,30.71646341463415,0.1,0,0.0311,0.1369727047146402,0,201.5
Kerry Group plc (ISE:KRZ),ISE:KRZ,Europe,30.77343964806159,0.107,0,0.141,0.17671077437166624,0.225,11192.3
"Kemen Noodle Manufacturing Co.,Ltd (SZSE:002661)",SZSE:002661,Asia / Pacific,30.788321167883215,0.235,1,0.129,0.051683262209578,0.5429999999999999,421.8
"Zhejiang Beingmate Technology Industry & Trade Co., Ltd. (SZSE:002570)",SZSE:002570,Asia / Pacific,31.252204585537918,0.14,1,NA,0.0019892776523702032,0,3544
Want Want China Holdings Ltd. (SEHK:151),SEHK:151,Asia / Pacific,31.48691514670896,0.17800000000000002,1,0.41,0.050522604206019395,0.6,19852.5
The WhiteWave Foods Company (NYSE:WWAV),NYSE:WWAV,United States and Canada,31.732913669064747,0.158,0,0.11199999999999999,0.2401734349760535,0,3528.7
"Dalian Keybridge Marine Seeds Co., Ltd. (SZSE:002447)",SZSE:002447,Asia / Pacific,31.913857677902623,0.69,1,0.17600000000000002,0.0954113366975707,0.312,852.1
"CALBEE, Inc. (TSE:2229)",TSE:2229,Asia / Pacific,31.936210131332086,0.198,1,0.12300000000000001,0.0008224650452355774,0.205,3404.4
"ShanDongDenghai Seeds Co., LTD. (SZSE:002041)",SZSE:002041,Asia / Pacific,32.08617594254937,0.235,1,0.276,0.0004487466427931961,0.105,1787.2
Raisio plc (HLSE:RAIVV),HLSE:RAIVV,Europe,32.16778523489933,0.028999999999999998,0,0.0709,0.10744836219486752,0.8079999999999999,958.6
Barry Callebaut AG (SWX:BARN),SWX:BARN,Europe,32.570605187319885,0.153,0,0.172,0.1872942841974872,0.495,5651
Ülker Bisküvi Sanayi Anonim Sirketi (IBSE:ULKER),IBSE:ULKER,Africa / Middle East,33.440000000000005,0.193,1,0.192,0.3049876758010729,0,2758.8
"Inventure Foods, Inc. (NasdaqGM:SNAK)",NasdaqGM:SNAK,United States and Canada,33.500761035007606,0.16,0,0.131,0.08814175374829622,0,220.1
São Martinho S.A. (BOVESPA:SMTO3),BOVESPA:SMTO3,Latin America and Caribbean,34.206315789473685,0.22699999999999998,1,0.052300000000000006,0.6688823239783358,0.34299999999999997,1624.8
He Bei Cheng De LoLo Company Limited (SZSE:000848),SZSE:000848,Asia / Pacific,34.54320987654321,0.33,1,0.326,0,0.604,1678.8
Grupo Nutresa SA (BVC:NUTRESA),BVC:NUTRESA,Latin America and Caribbean,34.562757201646086,0.095,1,NA,0.05804435183807114,0,6719
Freedom Foods Group Limited (ASX:FNP),ASX:FNP,Asia / Pacific,34.72222222222222,0.419,1,0.212,0.046857142857142854,0.17,437.5
Chocoladefabriken Lindt & Spruengli AG (SWX:LISP),SWX:LISP,Europe,34.92651439920556,0.106,0,0.151,0.0012415531735425968,0.45399999999999996,10551.3
"Beijing Dabeinong Technology Group Co.,Ltd. (SZSE:002385)",SZSE:002385,Asia / Pacific,35.18867924528302,0.32,1,0.16899999999999998,0.0007455636410060002,0.24600000000000002,3916.5
Britannia Industries Limited (BSE:500825),BSE:500825,Asia / Pacific,35.5049115913556,0.165,1,NA,0.04493138556883577,0,1807.2
"The Hain Celestial Group, Inc. (NasdaqGS:HAIN)",NasdaqGS:HAIN,United States and Canada,35.64341761115955,0.16,0,0.111,0.16287943644057432,0,4088.3
"Snyder's-Lance, Inc. (NasdaqGS:LNCE)",NasdaqGS:LNCE,United States and Canada,35.65068493150685,0.125,0,0.067,0.25773294908741595,0.7559999999999999,2082
Gruma S.A.B. de CV (BMV:GRUMA B),BMV:GRUMA B,Latin America and Caribbean,36.241772151898736,0.32,1,0.135,0.5346652230100241,0,2863.1
