Company Name,Exchange:Ticker,Company Type,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Net Income [LTM] ($USDmm, Historical rate)",LT EPS Growth Rate - Capital IQ [Latest] (%),"Total Debt [Latest Annual] ($USDmm, Historical rate)",Return on Equity % [LTM],Payout Ratio [LTM] (%),2 Year Beta [Latest],"Basic EPS [LTM] ($USD, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)",Weighted Avg Shares Outstanding [LTM],Weighted Avg. Diluted Shares Out. [LTM],Geographic Region,"Day Close Price [Latest] ($USD, Historical rate)"
Genting Plantations Berhad (KLSE:GENP),KLSE:GENP,Public Company,Food Products (Primary),2492.5,83.8,11.1,231.3,7.36,21.5,0.195,0.11,0.11,758.8,758.8,Asia / Pacific,3.28
Hormel Foods Corporation (NYSE:HRL),NYSE:HRL,Public Company,Food Products (Primary),11494.2,501.5,11,250,17,33.7,0.625,1.9,1.9,264.1,269.7,United States and Canada,43.55
Chordia Food Products Limited (BSE:519475),BSE:519475,Public Company,Food Products (Primary),1.72,0.448,11,0.643,8.54,0,0.052,0.15,0.15,2.98,2.98,Asia / Pacific,0.578
Glanbia plc (ISE:GL9),ISE:GL9,Public Company,Food Products (Primary),3897.5,181,11,862,22.9,19.2,0.002,0.615,0.585,294.5,296.7,Europe,13.23
The Hershey Company (NYSE:HSY),NYSE:HSY,Public Company,Food Products (Primary),22350.5,784.3,11,1906.9,66.8,0,0.395,3.5,3.5,224.1,227.2,United States and Canada,100.14
B&G Foods Inc. (NYSE:BGS),NYSE:BGS,Public Company,Food Products (Primary),1821.4,43.1,10.9,637.7,14.5,0,0.879,0.819,0.819,52.7,52.8,United States and Canada,34.08
Ros Agro PLC (LSE:AGRO),LSE:AGRO,Public Company,Food Products (Primary),706.3,61.3,10.8,1589.3,7,0.011,0.064,0.519,0.519,118.1,118.1,Europe,5.95
"Treehouse Foods, Inc. (NYSE:THS)",NYSE:THS,Public Company,Food Products (Primary),2708.8,88.3,10.8,900,7.59,0,0.614,2.43,2.43,36.3,37.2,United States and Canada,74.47
Kerry Group plc (ISE:KRZ),ISE:KRZ,Public Company,Food Products (Primary),11192.3,363.7,10.7,1977.8,14.1,22.5,0.243,2.07,2.07,175.7,175.9,Europe,63.69
CJ Cheiljedang Corporation (KOSE:A097950),KOSE:A097950,Public Company,Food Products (Primary),3065.2,150.7,10.7,4644.4,4.09,14.7,0.365,10.8,10.8,14,14,Asia / Pacific,240.68
Chocoladefabriken Lindt & Spruengli AG (SWX:LISP),SWX:LISP,Public Company,Food Products (Primary),10551.3,302.1,10.6,13.1,15.1,45.4,0.162,1327.9,1327.9,0.227,0.231,Europe,4287.92
"Ajinomoto Co., Inc. (TSE:2802)",TSE:2802,Public Company,Food Products (Primary),8689.2,500.6,10.5,1244.3,8.98,27.6,0.156,0.783,0.783,639.1,639.1,Asia / Pacific,14.13
Avi Ltd. (JSE:AVI),JSE:AVI,Public Company,Food Products (Primary),1874.7,109.3,10.3,90,28.7,59.4,0.343,0.356,0.343,307,320.9,Africa / Middle East,6.04
Archer Daniels Midland Company (NYSE:ADM),NYSE:ADM,Public Company,Food Products (Primary),26262,1478,10,9540,-,33.2,1.05,2.24,2.24,660.8,661.8,United States and Canada,39.84
Mead Johnson Nutrition Company (NYSE:MJN),NYSE:MJN,Public Company,Food Products (Primary),16356.8,630.5,10,1710.2,367.7,41.2,0.527,3.11,3.11,202.6,203.3,United States and Canada,80.98
D.E Master Blenders 1753 N.V. (ENXTAM:DE),ENXTAM:DE,Public Company,Food Products (Primary),10210.2,255.3,10,700.7,57.2,0,0.209,0.429,0.429,595.1,595.1,Europe,17.16
China Agri-Industries Holdings Limited (SEHK:606),SEHK:606,Public Company,Food Products (Primary),2451.1,178.6,10,4179.8,6.4,18.1,0.655,0.037,0.037,4793.4,4794.4,Asia / Pacific,0.467
J&J Snack Foods Corp. (NasdaqGS:JJSF),NasdaqGS:JJSF,Public Company,Food Products (Primary),1629.4,63.6,10,0.687,13.1,17.2,1.1,3.38,3.38,18.8,18.9,United States and Canada,86.82
Khon Kaen Sugar Industry Public Company Limited (SET:KSL),SET:KSL,Public Company,Food Products (Primary),694.5,63.6,10,457,15.1,40.8,0.485,0.039,0.039,1635.4,1642.2,Asia / Pacific,0.415
Omega Protein Corporation (NYSE:OME),NYSE:OME,Public Company,Food Products (Primary),201.5,6.56,10,27.6,3.11,0,1.09,0.33,0.33,19.9,20.5,United States and Canada,9.77
Rocky Mountain Chocolate Factory Inc. (NasdaqGM:RMCF),NasdaqGM:RMCF,Public Company,Food Products (Primary),77.7,1.79,10,0,9.83,148.7,0.213,0.296,0.296,6.07,6.29,United States and Canada,12.7
Eurogerm S.A (ENXTPA:ALGEM),ENXTPA:ALGEM,Public Company,Food Products (Primary),85.5,3.37,9.8,9.91,9.2,33.6,0.011,0.791,0.791,4.26,4.26,Europe,19.99
