Company,Power,Risk Characteristics,Investment Performance,Capital Structure,Dividend Policy,Valuation
,,Approach,ROE - COE,Current Debt ratio,Dividends,Value/share
Playboy,0,B,-1.8477999999999999,0.652,0,3.63
Polo Ralph Lauren,0,B,0.0686,0.2397,161.84,79.18
Priceline,1,B,0.21200000000000002,0.0715,4.49,92.96180291736971
Quality Systems,2,B,0.17853207234955876,0.012198664854905105,20.455,54.43
Quest Diagnostics,2,B,0.083,0.3087,472,71.32
Ralcorp,2,B,0.0443,0.3284,0,29.05
Ralcorp Holdings,2,B,0.0386,0.3225,31.8,53.13
Regal,1,B,,0.649,373.22,8.29
Regal,0,B,,0.5035,234.7,11.29
Regal Entertainment,2,B,,0.743,171.44,26.01
RehabCare Group,1,B,0.0167,0.3583,0,7.11
RIM,1,B,0.306,0.0038952742032289634,0,69.2
RIM,0,B,0.2912,0.0039,0,119.8
Rio Tinto,2,BBB,0.2031,0.30819785541335176,2297.8333333333335,37.94
Roche,1,B,0.13151,0.03911149710429119,2417.1,160.19
Ruth's Steak House,2,B,-1.1399363324209246,0.8235,0,6.34
Sara Lee,2,B,-0.0898,0.381,296,14.59
Smith & Wesson,1,B,0.068,0.3425,1.28,6.84
Smuckers,1,B,0.0761,0.2842,79.93,35.27
Sotheby's,2,B,-0.0466,0.3557,12.42,26.03
Southern Company,1,B,0.05230000000000001,0.431711365724887,1192,29.815930541745672
Southwest,2,B,-0.0339,0.476954205,67,12.44
Southwest Airlines Co.,1,B,-0.077,0.47575626454512615,249,12.6
St. Jude Medical,2,R,0.04179999999999999,0.09797829483634579,0,32.52
Starbucks,2,B,0.0023,0.323,818.9,13.51
Starbucks,0,B,-0.035,0.34,0,13.98
Starbucks,2,B,0.043,0.3428,0,17.25
Starbucks (SBUX),2,B,0.0086,0.3574,0,2.13
Starwood,1,B,0.022970000000000004,0.5459,765,18.696173639833006
Starwood,1,B,0.04050000000000001,0.5472,1018.2,36.78
Strauss,0,B,0.1719,0.2653,48,9.77
Strayer Education,2,B,0.344,0.0569,66.15,221.51
