Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Market Capitalization [My Setting] [Latest] ($USDmm, Historical rate)",Institutions - % Owned [Latest] (%),2 Year Beta [Latest],Shares Outstanding [My Setting] [Latest] (mm),Forward Revenue (next 12 months),"Net Income, 10 Yr CAGR % [LTM] (%)","Total Revenue [LTM] ($USDmm, Historical rate)","Cash And Equivalents [Latest Quarter] ($USDmm, Historical rate)","Total Debt [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM] ($USDmm, Historical rate)","Basic EPS [LTM] ($USD, Historical rate)","Operating Lease Commitment Due, After 5 Yrs [Latest Annual] ($USDmm, Historical rate)","Change in Net Working Capital [LTM] ($USDmm, Historical rate)","Total Revenue [Latest Annual] ($USDmm, Historical rate)",% of Directors that are Internal
National Grid plc (LSE:NG.),1990,47191.8,0.7813,0.319,3749.5,19825.2,4.03,20136.3,210.9,43297.3,37.8,0.712,411.9,187.5,21770.1,33.33
British American Tobacco p.l.c. (LSE:BATS),1902,122770.3,0.8057,0.704,1858.1,21929.4,9.38,18212.9,2721.3,25071.5,177.8,3.09,61.7,353.1,18212.9,18.18
Reliance Industries Limited (NSEI:RELIANCE),1973,63699.5,0.2325,0.55,3251.3,52928.8,,41864.5,,23560.9,92.5,1.34,,,41726.7,35.71
"Hon Hai Precision Industry Co., Ltd. (TSEC:2317)",1974,52377,0.2216,0.544,17326.9,147680.9,9.13,139968.3,20845.8,9086.6,1650.9,0.246,0.564,-1768.4,135925.6,33.33
"Twenty-First Century Fox, Inc. (NasdaqGS:FOXA)",1922,58951.2,0.7809,1.09,1850.8,29433.5,-0.782,28062,4530,19737,,1.64,418,755,27326,52.94
Telstra Corporation Limited (ASX:TLS),1901,42044,0.1839,0.296,11874.2,21504.4,7.16,19026.7,859.1,12662.9,,0.325,788.9,547.4,19741.5,10
CK Hutchison Holdings Limited (SEHK:1),2014,48040.4,0.22699999999999998,0.855,3857.7,50052.5,6.21,33510.1,20153.1,40007.8,,1.1,3909.5,990.3,33510.1,42.86
Bristol-Myers Squibb Company (NYSE:BMY),1887,92177.6,0.732,0.993,1647.5,19708.8,10.9,19427,4237,6697,4927,2.67,340,1230,19427,15.38
VINCI SA (ENXTPA:DG),1899,43927.2,0.3933,0.792,553.6,42032.7,7.03,40829.7,7049.5,21074.1,,4.77,115.1,-191.1,40829.7,19.23
Continental Aktiengesellschaft (DB:CON),1871,43651,0.2847,1.2,200,46614.9,11.1,42805.3,2224.2,5696.2,3025.2,14.8,430.2,-185.1,42805.3,5
SAP SE (DB:SAP),1972,117660.9,0.3724,0.858,1198.6,25552,6.9,23289.3,3907.9,9986.4,3213.3,3.21,497.2,444.4,23289.3,22.22
Biogen Inc. (NasdaqGS:BIIB),1978,57989.6,0.8959999999999999,1.38,216,11359.5,32.8,11448.8,2326.5,6526.3,1973.3,17,331.9,-277,11448.8,9.09
Mastercard Incorporated (NYSE:MA),1966,120791.7,0.8847,1.01,1077.9,11777.5,55.2,10776,6721,3268,,3.7,39,-290,10776,8.33
Japan Tobacco Inc. (TSE:2914),1898,58989,0.2832,0.889,1791,19718.6,,18357.9,2519.5,2192.3,,2.02,,1171.4,18357.9,36.36
Aetna Inc. (NYSE:AET),1853,44219.2,0.9248000000000001,0.656,351.7,60604.5,2.93,63155,17996,7785,,6.47,84,-1242,63155,4.35
"Kinder Morgan, Inc. (NYSE:KMI)",1936,47796.5,0.5922,1.29,2232.4,13487,,13058,684,43304,,0.246,342,-26,13058,18.75
Lockheed Martin Corporation (NYSE:LMT),1909,77741.3,0.6806,0.646,289.8,50155.8,7.68,47248,1837,15261,988,17.7,121,208,47248,8.33
Allergan plc (NYSE:AGN),1983,80989.8,1.0275,0.698,335.6,15595.1,,14570.6,1724,42530.4,2575.7,38.2,172.8,-2022.7,14570.6,7.69
Emirates Telecommunications Group Company PJSC (ADX:ETISALAT),1976,42742.9,0.0155,0.351,8696.8,14178.5,3.69,14256.9,6446.7,6016.9,,0.264,141.7,440.3,14256.9,0
Reynolds American Inc. (NYSE:RAI),2004,89817.9,0.4813,0.498,1427,12972.5,17.5,12503,2051,17355,101,4.26,,49,12503,14.29
AstraZeneca PLC (LSE:AZN),1992,77905.1,0.8423999999999999,0.573,1265.6,21654.5,-5.32,23002,5018,15063,5809,2.77,96,-1267,23002,18.18
Ambev S.A. (BOVESPA:ABEV3),1885,91593.6,0.3143,0.492,15699.9,15790.6,,14013,2420.4,909.3,,0.246,20.4,1524.7,14013,0
"Dominion Resources, Inc. (NYSE:D)",1909,48794.8,0.6696,0.309,628.2,13177.8,4.4,11737,261,28985,,3.44,238,-199,11737,7.69
"Anthem, Inc. (NYSE:ANTM)",1944,43617.2,0.9188,0.625,264.4,86896.1,-2.23,84862.8,4075.3,17165.4,,9.39,201.1,-104.4,84862.8,13.33
Fresenius SE & Co. KGaA (DB:FRE),1912,44350,0.4311,0.734,553.4,36536.9,17.1,30700.9,1666.8,16046.7,527.8,3.08,1551.8,381.1,30700.9,0
L'Oréal S.A. (ENXTPA:OR),1909,106907.9,0.1515,0.731,552.6,29558.3,4.19,27274.5,1843.1,849.1,897.1,5.86,982.6,-45.4,27274.5,6.25
Accenture plc (NYSE:ACN),1989,75017.6,0.8105,0.997,620.1,35699.7,11.6,33757.2,3238.9,28.7,643.4,6.12,902.7,-897.1,32882.7,9.09
Texas Instruments Incorporated (NasdaqGS:TXN),1930,80461,0.8708,1.3,999.6,14035.5,-1.87,13370,1154,4120,1370,3.54,57,33,13370,7.69
"Industria de Diseño Textil, S.A. (BME:ITX)",1963,109482.8,0.17170000000000002,0.852,3113.2,28078.8,12.2,25154.9,4441.6,12,,1.09,,-131.9,25154.9,6.67
Eli Lilly and Company (NYSE:LLY),1876,88884.8,0.6866,0.515,1052.6,22124.8,0.278,21222.1,4582.1,7978.9,5243.9,2.59,339.4,112.9,21222.1,11.11
"NIKE, Inc. (NYSE:NKE)",1964,93776,0.6404000000000001,1.08,1654.5,35889.3,11.4,33917,4021,2109,,2.45,1244,-428,32376,15.38
E. I. du Pont de Nemours and Company (NYSE:DD),1802,70782.7,0.725,0.78,864.6,25180,-2.23,24594,4605,8807,1641,2.87,219,652,24594,15.79
Costco Wholesale Corporation (NasdaqGS:COST),1976,73491.9,0.7392,0.918,438.9,131348.6,8.27,121194,4744,4975,,5.44,2204,-438,118719,35.71
Carnival Corporation (NYSE:CCL),1972,42756.1,0.5233,0.931,725.2,17184.2,2.61,16529,437,9112,,4.07,198,-517,16389,9.09
Carnival plc (LSE:CCL),1850,41312.4,0.2352,0.261,724.7,17310,2.61,16529,437,9112,,4.07,198,-517,16389,9.09
Starbucks Corporation (NasdaqGS:SBUX),1971,83858.8,0.7172,0.986,1457.4,23489.8,17.1,21675.3,2034.6,2347.7,,1.97,2695.5,-284,21315.9,14.29
