Company,Country,Money making or losing,Date,Prce/Share,DCF Value/Share,Multiple,Pricing/share,Option value,Recommendation
Spotify,United States,Money making,2024-05-04 00:00:00,275.09,216.1,EV/Sales,118.68,,Sell
Spotify,Sweden,Money making,2024-05-03 00:00:00,296.07,253.01,EV/Sales,242.9,,Sell
Spotify,Sweden,Money making,2024-05-05 00:00:00,296.07,244.54,EV/Sales,236.65,,Sell
Spotify,Sweden,Money losing,2024-05-05 00:00:00,274.86,143.64,EV/Sales,196.72,,Sell
Squarespace,United States,Money losing,2024-05-03 00:00:00,35.24,31.67,EV/Sales,62.88,,Sell
Stanley Black & Decker,USA,Money losing,2024-05-03 00:00:00,85.72,76.23,EV/Sales,55.92,,Sell
Starbucks,United States,Money making,2024-05-05 00:00:00,73.11,70.87,PEG,58.1,,Sell
starbucks,united States,Money making,2024-05-05 00:00:00,73.1,85.61,EV/EBItda,89,,Sell
Sterling Infrastructure,United States,Money making,2024-05-04 00:00:00,101.15,152.45,EV/Sales,115.45,,Buy
Steve Madden,United States,Money making,2024-05-04 00:00:00,39.59,41.5,EV/Sales,36.16,,Hold
Sunny Optical Technology,China,Money making,2024-05-04 00:00:00,38.35,26.58,EV/EBITDA,28.53,,Sell
SweetGreen,USA,Money losing,2024-05-03 00:00:00,22.1,5.67,EV/Invested Capital,23.11,,Sell
Taiwan Semiconductor Mfg. Comp.,Taiwan,Money making,2024-05-04 00:00:00,780,730.54,EV/Sales,928.97,,Buy
"Take-Two Interactive Software, Inc.",United States,Money losing,2024-05-04 00:00:00,145.88,165.81,PBV,168.74,,Buy
Target,USA,Money making,2024-04-30 00:00:00,160.98,127.01,EV/EBITDA,84.58,,Sell
Tencent,China,Money making,2024-05-05 00:00:00,335.6,367.19,EV/Sales,381.62,¥134.54,Buy
Tesco PLC,United Kingdom,Money making,2024-05-04 00:00:00,2.98,3.13,EV/Sales,24.49,,Buy
Tesla,United States,Money making,2024-05-05 00:00:00,181,189.04,EV/Sales,78.66,,Hold
Tesla,United States,Money making,2023-11-14 00:00:00,212.55,181.33,PE,115.54,,Sell
Tesla,United States,Money making,2024-05-05 00:00:00,181.14,172.46,PE,37,,Sell
TJX Companies,United States,Money making,2024-05-05 00:00:00,95.11,61,EV/Sales,79.34,,Sell
"Toast, Inc.",United States,Money losing,2024-04-30 00:00:00,23.63,19.71,EV/Sales,20.64,,Sell
TSMC,Taiwan,Money making,2024-05-05 00:00:00,4571.24,5540.89,EV/Sales,8696.62,,Buy
Twilio,United States,Money losing,2024-05-03 00:00:00,61.89,52.89,EV/Sales,109.74,,Buy
U-Haul Holding Company,United States,Money making,2024-05-02 00:00:00,66.85,54.25,PBV,78.56,,Sell
Uber,United States,Money making,2024-05-05 00:00:00,69.23,77.7,EV/Sales,52.37,,Buy
Uber,United States,Money making,2024-05-04 00:00:00,69.23,77.25,EV/Sales,31.02,,Buy
Uber,United States,Money making,2024-05-05 00:00:00,69.23,78.56,PBV,11.26,,Buy
Udemy,United States,Money losing,2024-05-03 00:00:00,10.13,11.44,PBV,9.74,,Buy
Unity Software Inc.,United States,Money losing,2024-05-03 00:00:00,24.74,37.06,EV/Sales,30.42,,Buy
V. F. Corporation,United States,Money losing,2024-05-02 00:00:00,12.56,5.89,EV/Sales,5.04,10.58,Sell
Verizon,United States,Money making,2024-05-05 00:00:00,38.39,33.63,EV/EBITDA,35.62,,Sell
Viasat,United States,Money losing,2024-05-03 00:00:00,17.21,30.45,EV/Sales,102.12,58,Buy
