Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Emerge Energy Services LP (NYSE:EMES),NYSE:EMES,Energy (Primary),1225.3,222.9,122.6,97.8,-7.39,155.2,
Breitburn Energy Partners LP (NasdaqGS:BBEP),NasdaqGS:BBEP,Energy (Primary),1217.1,3359.6,1001.8,561.1,-126.5,3566.1,B+
"Cosmo Oil Company, Limited (TSE:5007)",TSE:5007,Energy (Primary),1217,7273,106.6,-80.9,-106.5,1449.9,
Bonavista Energy Corporation (TSX:BNP),TSX:BNP,Energy (Primary),1212.5,897.8,667.8,338.4,-40.4,2035.9,
Seadrill Partners LLC (NYSE:SDLP),NYSE:SDLP,Energy (Primary),1210.2,3650.4,828.3,614.8,-140.9,928.2,BB-
"Zhongyuan Special Steel Co.,Ltd. (SZSE:002423)",SZSE:002423,Energy (Primary),1201.1,95.8,4.87,-9.49,,285.2,
Transportadora de Gas Del Sur S.A. (BASE:TGSU2),BASE:TGSU2,Energy (Primary),1200.4,288.3,138.9,109.2,-35.1,218.3,CCC-
Oil Refineries Ltd. (TASE:ORL),TASE:ORL,Energy (Primary),1195,1684.8,238.4,70.3,-146.4,654.2,
"Zhengzhou Coal Industry & Electric Power Co., Ltd. (SHSE:600121)",SHSE:600121,Energy (Primary),1191,681.8,176.5,66.8,-47.5,633.9,
Hellenic Petroleum SA (ATSE:ELPE),ATSE:ELPE,Energy (Primary),1180.9,3618.8,-101.2,-338.9,-271,1958.7,
Hunting plc (LSE:HTG),LSE:HTG,Energy (Primary),1174.6,223.3,260.2,165.4,-12.4,1408.1,
"Shandong Molong Petroleum Machinery Co., Ltd. (SEHK:568)",SEHK:568,Energy (Primary),1171.3,308.4,49.6,10.2,-11,434.4,
CGG (ENXTPA:CGG),ENXTPA:CGG,Energy (Primary),1168.9,2778.9,89.6,-697.5,-144,2693,B
Petroleum Geo-Services ASA (OB:PGS),OB:PGS,Energy (Primary),1158.3,1184.9,703.4,178,-30.1,1909.7,B+
