Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Serica Energy PLC (AIM:SQZ),AIM:SQZ,Energy (Primary),12.1,0,-6.48,-5.72,0,99.3,
Platino Energy Corp. (TSXV:PZE),TSXV:PZE,Energy (Primary),12,0,-4.5,-20.4,,102,
Cals Refineries Limited (BSE:526652),BSE:526652,Energy (Primary),12,1.06,-0.157,-0.159,-0.324,81.1,
"Red Mountain Resources, Inc. (OTCPK:RDMP)",OTCPK:RDMP,Energy (Primary),11.9,31.7,5.81,-4.31,-3.05,40.9,
Great Prairie Energy Services Inc. (TSXV:GPE),TSXV:GPE,Energy (Primary),11.8,14.1,,3.34,-0.345,14.9,
IM Skaugen SE (OB:IMSK),OB:IMSK,Energy (Primary),11.8,122.1,-12.5,-18.3,-11.9,44.1,
Swala Energy Limited (ASX:SWE),ASX:SWE,Energy (Primary),11.4,2,-9.17,-9.19,,19.1,
Pancontinental Oil & Gas NL (ASX:PCL),ASX:PCL,Energy (Primary),11.4,0,-8.09,-8.09,-0.741,45.3,
Tesla Exploration Ltd. (TSX:TXL),TSX:TXL,Energy (Primary),11.4,39.1,9.19,-10.6,-1.57,48.8,
Greka Engineering & Technology Ltd. (AIM:GEL),AIM:GEL,Energy (Primary),11.4,4.68,0.059,-1.77,-0.061,30.7,
Andatee China Marine Fuel Services Corporation (NasdaqCM:AMCF),NasdaqCM:AMCF,Energy (Primary),11.4,158.2,18.6,15.3,-13.4,56.6,
Tower Resources PLC (AIM:TRP),AIM:TRP,Energy (Primary),11.4,0,-9.24,-46.4,0,46.2,
Northern Spirit Resources Inc. (TSXV:NS),TSXV:NS,Energy (Primary),11.3,2.29,1.84,1.27,-0.004,12.9,
Fastnet Oil & Gas Plc (AIM:FAST),AIM:FAST,Energy (Primary),11.3,0,-3.51,-3.51,,54.5,
Prophecy Development Corp. (TSX:PCY),TSX:PCY,Energy (Primary),11.2,1.11,-2.35,-14,,14.7,
Universal Resource And Services Limited (SGX:W81),SGX:W81,Energy (Primary),11.2,0,13.5,4.45,,111.2,
Terra Nova Energy Ltd. (TSXV:TGC),TSXV:TGC,Energy (Primary),11.2,0,-0.74,-0.892,-0.302,4.73,
Mexco Energy Corporation (AMEX:MXC),AMEX:MXC,Energy (Primary),11.1,5.75,1.32,0.037,-0.072,13.4,
Anderson Energy Inc. (TSX:AXL),TSX:AXL,Energy (Primary),11.1,80.8,22.6,-0.462,-8.38,-24,
"Deep Down, Inc. (OTCPK:DPDW)",OTCPK:DPDW,Energy (Primary),11,5.62,0.768,-0.831,-0.205,25,
A-Cap Resources Limited (ASX:ACB),ASX:ACB,Energy (Primary),10.9,0,-1.4,-1.99,,35.9,
S.C. Rafo S.A. (BVB:RAF),BVB:RAF,Energy (Primary),10.8,,-0.28,-15.1,-5.08,,
Lansdowne Oil & Gas plc (AIM:LOGP),AIM:LOGP,Energy (Primary),10.8,0,,-2.43,-0.027,42.8,
PetroVietnam Northern Gas Joint Stock Company (HASTC:PVG),HASTC:PVG,Energy (Primary),10.7,17.2,1.33,0.29,-0.656,17.7,
Far East Energy Corp. (OTCPK:FEEC),OTCPK:FEEC,Energy (Primary),10.7,93.5,-18.5,-21.7,-13.6,-29.9,
Petrovietnam Engineering Consultancy Joint Stock Company (HASTC:PVE),HASTC:PVE,Energy (Primary),10.7,,,,,,
"Energtek, Inc. (OTCPK:EGTK)",OTCPK:EGTK,Energy (Primary),10.7,3.62,,-2.07,-0.243,1.54,
"Stratex Oil & Gas Holdings, Inc. (OTCPK:STTX)",OTCPK:STTX,Energy (Primary),10.6,16.3,-7.26,-8.48,-2.93,1.06,
GCM Resources Plc (AIM:GCM),AIM:GCM,Energy (Primary),10.5,0,-1.96,-1.95,,59.2,
Houston American Energy Corp. (AMEX:HUSA),AMEX:HUSA,Energy (Primary),10.4,0,-2.11,-2.47,,9.27,
Strata Oil & Gas Inc. (OTCPK:SOIG.F),OTCPK:SOIG.F,Energy (Primary),10.4,0,-0.806,-0.812,,0.85,
Atlantic Coal plc (AIM:ATC),AIM:ATC,Energy (Primary),10.4,12.8,-0.454,-3.5,-0.406,12.4,
Petrolinvest Spolka Akcyjna (WSE:OIL),WSE:OIL,Energy (Primary),10.4,100.5,-8.78,-8.84,-8.27,42.8,
Stonehenge Metals Limited (ASX:SHE),ASX:SHE,Energy (Primary),10.4,0,-1.11,-1.31,,7.23,
Urals Energy Public Company Limited (AIM:UEN),AIM:UEN,Energy (Primary),10.3,3.62,7.98,1.39,-0.536,98,
Red Emperor Resources NL (ASX:RMP),ASX:RMP,Energy (Primary),10.3,0,-0.11,-20.4,-0.002,14,
Bisichi Mining Plc (LSE:BISI),LSE:BISI,Energy (Primary),10.2,14.4,2.44,-1.94,-0.794,27.5,
Infinity Energy Resources Inc. (OTCPK:IFNY),OTCPK:IFNY,Energy (Primary),10.2,1.38,,-1.82,-3.5,-3.06,
Hydrocarb Energy Corporation (OTCBB:HECC),OTCBB:HECC,Energy (Primary),10.2,4.44,-4.88,-6.8,-0.662,6.93,
"Coil Tubing Technology, Inc. (OTCPK:CTBG)",OTCPK:CTBG,Energy (Primary),10.2,4.81,0.023,-0.333,-0.062,6.69,
HaLam - TKV Coal JSC (HASTC:HLC),HASTC:HLC,Energy (Primary),10.1,90.7,16.7,7.79,-6.29,13,
Skotan SA (WSE:SKT),WSE:SKT,Energy (Primary),10.1,0.174,3.24,-5.07,-0.077,9.02,
Global Vectra Helicorp Limited (BSE:532773),BSE:532773,Energy (Primary),10.1,21.4,13,8.47,-2.67,11,
"Frontier Oilfield Services, Inc. (OTCPK:FOSI)",OTCPK:FOSI,Energy (Primary),10.1,12,0.076,-2.64,-1.82,-0.605,
Northern Frontier Corp. (TSXV:FFF),TSXV:FFF,Energy (Primary),10.1,37.5,9.65,0.934,-3.08,23.2,NR
Blue Water Petroleum Corp. (OTCBB:BWPC),OTCBB:BWPC,Energy (Primary),10.1,0.625,-0.989,-0.991,-0.044,-0.903,
Cuu Long Petro Gas Transportation Joint Stock Company (HASTC:PCT),HASTC:PCT,Energy (Primary),10.1,0.468,2.04,0.386,0,12.4,
Taurus Energy AB (OM:TAUR B),OM:TAUR B,Energy (Primary),10,0,-0.858,-0.875,-0.004,2.57,
Forum Energy PLC (AIM:FEP),AIM:FEP,Energy (Primary),10,15.5,3.14,1.24,-0.852,16.5,
Eo2 Société Anonyme (ENXTPA:ALEO2),ENXTPA:ALEO2,Energy (Primary),10,10.7,2.52,1.3,-0.527,15.3,
"Osage Exploration and Development, Inc. (OTCPK:OEDV)",OTCPK:OEDV,Energy (Primary),9.91,25.1,6.16,-30.8,-4.47,-12.3,
JustKapital Litigation Partners Limited (ASX:JKL),ASX:JKL,Energy (Primary),9.88,0,-0.905,-1.03,,4.04,
Fluid S.A. (WSE:FLD),WSE:FLD,Energy (Primary),9.87,0.169,0.572,-0.034,-0.008,9.4,
Agarwal Industrial Corporation Ltd (BSE:531921),BSE:531921,Energy (Primary),9.85,,2.56,1.87,-0.602,,
East West Petroleum Corp (TSXV:EW),TSXV:EW,Energy (Primary),9.82,0,0.648,-5.26,,17.5,
Magnolia Petroleum Plc (AIM:MAGP),AIM:MAGP,Energy (Primary),9.81,2.2,1.45,0.287,-0.053,14.1,
Coalspur Mines Limited (ASX:CPL),ASX:CPL,Energy (Primary),9.81,78.1,-17.5,-128,-16.1,-40.5,
Sentula Mining Limited (JSE:SNU),JSE:SNU,Energy (Primary),9.8,28.1,4.87,-9.18,-4.67,84.1,
Vinacomin - Ha Tu Coal Joint Stock Company. (HASTC:THT),HASTC:THT,Energy (Primary),9.73,5.06,6.38,1.96,-0.649,11.8,
"Plastic2Oil, Inc. (OTCPK:PTOI)",OTCPK:PTOI,Energy (Primary),9.62,4.14,-4.48,-5.35,-0.439,-1.37,
88 Energy Limited (ASX:88E),ASX:88E,Energy (Primary),9.58,0,-5.73,-22.3,0,1.1,
Activa Resources AG (XTRA:NXI),XTRA:NXI,Energy (Primary),9.55,16.7,3.47,2.36,-0.975,4.75,
Alligator Energy Limited (ASX:AGE),ASX:AGE,Energy (Primary),9.49,0,-0.702,-0.729,,17.6,
An Pha Petroleum Group Joint Stock Company (HOSE:ASP),HOSE:ASP,Energy (Primary),9.45,13.2,2.27,1.66,-5.07,12,
Methes Energies International Ltd. (NasdaqCM:MEIL),NasdaqCM:MEIL,Energy (Primary),9.44,3.87,-5.46,-5.91,-0.493,4.14,
HocMon Trade Joint Stock Company (HASTC:HTC),HASTC:HTC,Energy (Primary),9.42,0,2.09,1.77,-0.002,7.42,
Diversified Resources Inc. (OTCPK:DDRI),OTCPK:DDRI,Energy (Primary),9.38,2.74,-2,-2.16,-0.039,6.38,
Cluff Natural Resources Plc (AIM:CLNR),AIM:CLNR,Energy (Primary),9.21,0,-3.24,-3.25,,3.87,
New Guinea Energy Limited (ASX:NGE),ASX:NGE,Energy (Primary),9.1,18.5,0.292,-5.58,-0.093,45.9,
Buildmax Ltd. (JSE:BDM),JSE:BDM,Energy (Primary),9.05,42.4,16.7,1.16,-3.95,51.7,
Fieldpoint Petroleum Corp. (AMEX:FPP),AMEX:FPP,Energy (Primary),9.03,7.24,3.11,-2.71,-0.263,11,
Heatec Jietong Holdings Ltd. (Catalist:5OR),Catalist:5OR,Energy (Primary),8.99,4.77,-0.367,-1.25,-0.24,17.5,
Vinacomin Coc Sau Coal JSC (HASTC:TC6),HASTC:TC6,Energy (Primary),8.91,,,,,,
Octanex N.L. (ASX:OXX),ASX:OXX,Energy (Primary),8.88,5.99,-2.33,-13.6,-0.304,36.6,
"Cross Border Resources, Inc. (OTCPK:XBOR)",OTCPK:XBOR,Energy (Primary),8.84,9.2,8.84,4.59,-0.566,22.5,
MatRRix Energy Technologies Inc. (TSXV:MXX),TSXV:MXX,Energy (Primary),8.69,0,2.59,0.236,,23.5,
American Sands Energy Corporation (OTCPK:AMSE),OTCPK:AMSE,Energy (Primary),8.68,0,-3.58,-3.58,-0.012,0.545,
Hyperdynamics Corporation (OTCPK:HDYN),OTCPK:HDYN,Energy (Primary),8.63,0,-22.4,-22.8,,37.7,
Quattro Exploration and Production Ltd. (TSXV:QXP),TSXV:QXP,Energy (Primary),8.61,8.24,4.88,1.43,-0.676,18.4,
Bounty Oil & Gas NL (ASX:BUY),ASX:BUY,Energy (Primary),8.61,0,-0.529,-0.862,,23.1,
Vinacomin - Mong Duong Coal JSC (HASTC:MDC),HASTC:MDC,Energy (Primary),8.6,,,,,,
"Torchlight Energy Resources, Inc. (NasdaqCM:TRCH)",NasdaqCM:TRCH,Energy (Primary),8.59,10.6,-7.72,-9.23,-8.15,21.8,
"Forum Pacific, Inc. (PSE:FPI)",PSE:FPI,Energy (Primary),8.55,0.082,,,,8.46,
"Start Scientific, Inc. (OTCPK:STSC)",OTCPK:STSC,Energy (Primary),8.49,0.795,,-6.73,-0.073,-1.95,
Eagle Ford Oil & Gas Corp. (OTCPK:ECCE),OTCPK:ECCE,Energy (Primary),8.41,10.3,-0.787,-0.792,-1.04,-14.6,
Dietswell S.A. (ENXTPA:ALDIE),ENXTPA:ALDIE,Energy (Primary),8.4,4.23,1.77,1.52,-0.214,9.21,
Confidence Petroleum India Ltd. (BSE:526829),BSE:526829,Energy (Primary),8.36,8.19,4.91,1.63,-1.34,37.8,
"Freestone Resources, Inc. (OTCPK:FSNR)",OTCPK:FSNR,Energy (Primary),8.34,0,-0.446,-0.456,,0.159,
3D Oil Limited (ASX:TDO),ASX:TDO,Energy (Primary),8.33,0,-1.08,-1.17,,19.5,
Wavefront Technology Solutions Inc. (TSXV:WEE),TSXV:WEE,Energy (Primary),8.3,0,-1.87,-3.37,-0.003,13.7,
Magnus Energy Group Ltd. (Catalist:576),Catalist:576,Energy (Primary),8.29,0.254,7.65,7.17,-0.169,24.9,
"Hawk Exploration, Ltd. (TSXV:HWK.A)",TSXV:HWK.A,Energy (Primary),8.21,6.17,6.55,-0.907,-1.13,20.8,
Entek Energy Limited (ASX:ETE),ASX:ETE,Energy (Primary),8.2,0,-0.997,-7.29,,19.8,
Tuscany Energy Ltd. (TSXV:TUS),TSXV:TUS,Energy (Primary),8.16,3.44,7.01,-0.308,-0.238,15,
Lereno Bio-Chem Ltd. (Catalist:587),Catalist:587,Energy (Primary),8.12,0,-1.02,-1.02,-0.001,-2.61,
Eco (Atlantic) Oil & Gas Ltd. (TSXV:EOG),TSXV:EOG,Energy (Primary),8.09,0,-3.41,-3.41,,3.7,
"Green Energy Live, Inc. (OTCPK:GELV)",OTCPK:GELV,Energy (Primary),8.09,,,,,,
Universal Energy Corp. (OTCPK:UVSE),OTCPK:UVSE,Energy (Primary),8.08,,,,,,
"Alliance Bioenergy Plus, Inc. (OTCPK:ALLM)",OTCPK:ALLM,Energy (Primary),8.07,0.571,,-5.22,-0.01,4.82,
Guideline Geo AB (publ) (NGM:GGEO),NGM:GGEO,Energy (Primary),8.06,0.911,0.544,-0.353,-0.05,16.1,
Nostra Terra Oil & Gas Company plc (AIM:NTOG),AIM:NTOG,Energy (Primary),7.99,1.66,-0.789,-2.22,-0.18,5.45,
"Native American Energy Group, Inc. (OTCPK:NAGP)",OTCPK:NAGP,Energy (Primary),7.98,,,,,,
Boss Resources Limited (ASX:BOE),ASX:BOE,Energy (Primary),7.95,0,-0.03,-0.875,-0.004,5.61,
Edge Resources Inc. (TSXV:EDE),TSXV:EDE,Energy (Primary),7.81,14,2.6,0.862,-0.941,9.25,
"Recon Technology, Ltd. (NasdaqCM:RCON)",NasdaqCM:RCON,Energy (Primary),7.8,2.84,-1.14,-1.23,-0.152,15.9,
New Zealand Energy Corporation (TSXV:NZ),TSXV:NZ,Energy (Primary),7.77,0.063,6.14,-11.5,-0.028,79,
Victory Energy Corporation (OTCPK:VYEY),OTCPK:VYEY,Energy (Primary),7.74,0.8,-2.27,-6.43,-0.065,-5.11,
Exoma Energy Limited (ASX:EXE),ASX:EXE,Energy (Primary),7.68,0,-0.538,-0.689,-0.028,6.18,
Renaissance Oil Corp. (TSXV:ROE),TSXV:ROE,Energy (Primary),7.64,0,-1.39,-1.39,,5.39,
Coal Energy S.A. (WSE:CLE),WSE:CLE,Energy (Primary),7.61,78.1,4.89,-6.33,,-4.83,
"HINTO Energy, Inc. (OTCPK:HENI)",OTCPK:HENI,Energy (Primary),7.56,2.58,-1.53,-1.63,-0.18,-0.212,
Sea Dragon Energy Inc. (TSXV:SDX),TSXV:SDX,Energy (Primary),7.54,9.63,9.3,5.25,-0.977,32.2,
"Lucas Energy, Inc. (AMEX:LEI)",AMEX:LEI,Energy (Primary),7.52,7.02,-1.55,-3.25,-1.38,26.9,
Metgasco Limited (ASX:MEL),ASX:MEL,Energy (Primary),7.47,0.019,30.1,-69.7,-0.116,8.11,
MEO Australia Limited (ASX:MEO),ASX:MEO,Energy (Primary),7.46,0,87.2,-19,,15.9,
AB Igrene (publ) (OM:ABI),OM:ABI,Energy (Primary),7.43,0,-0.492,-0.647,0,1,
Formation Fluid Management Inc. (TSXV:FFM),TSXV:FFM,Energy (Primary),7.42,0.624,-0.222,-0.404,,5.07,
Ncondezi Energy (AIM:NCCL),AIM:NCCL,Energy (Primary),7.42,0,-5.78,-6.14,-0.046,49.2,
Hanwei Energy Services Corp. (TSX:HE),TSX:HE,Energy (Primary),7.39,8.61,0.092,-2.74,-0.395,24.4,
Eden Energy Limited (ASX:EDE),ASX:EDE,Energy (Primary),7.38,0.45,-1.06,-1.13,-0.016,4.14,
"Blacksands Petroleum, Inc. (OTCPK:BSPE)",OTCPK:BSPE,Energy (Primary),7.36,6.1,-0.521,-3.47,-1.86,-7.13,
Vinacomin - Deo Nai Coal Joint Stock Company (HASTC:TDN),HASTC:TDN,Energy (Primary),7.36,14.4,9.64,0.831,-1.76,13.1,
Black River Petroleum Corp. (OTCPK:BRPC),OTCPK:BRPC,Energy (Primary),7.32,0,0.622,-1.25,-0.005,0.117,
Shiv-Vani Oil & Gas Exploration Services Ltd (BSE:522175),BSE:522175,Energy (Primary),7.29,710,-41.6,-82,-53.9,66.9,
Terra Energy Corp. (TSX:TT),TSX:TT,Energy (Primary),7.26,18.6,11.1,-13,-1.05,58,
Connacher Oil and Gas Ltd. (TSX:CLL),TSX:CLL,Energy (Primary),7.25,942.1,62.4,-45.6,-84.1,9.39,D
Divestco Inc. (TSXV:DVT),TSXV:DVT,Energy (Primary),7.25,10.4,2.35,-1.11,-1.23,9.11,
Oklo Resources Limited (ASX:OKU),ASX:OKU,Energy (Primary),7.24,0,,-0.651,,8.09,
Eastern Gases Limited (BSE:590080),BSE:590080,Energy (Primary),7.23,,1.82,1.65,-0.959,,
"West Texas Resources, Inc. (OTCPK:WTXR)",OTCPK:WTXR,Energy (Primary),7.21,0.216,-0.337,-0.44,-0.188,0.511,
Range Energy Resources Inc. (DB:YGK),DB:YGK,Energy (Primary),6.92,0,-0.659,-0.66,,36.7,
Cmistone Vietman Joint Stock company (HASTC:CMI),HASTC:CMI,Energy (Primary),6.9,,,,,,
Saratoga Resources Inc. (AMEX:SARA),AMEX:SARA,Energy (Primary),6.88,179.5,13.1,-0.268,-23.7,12.5,
StonePoint Energy Inc. (TSXV:STO),TSXV:STO,Energy (Primary),6.87,1.75,0.195,-1.93,-0.111,-1.04,
Union Jack Oil plc (AIM:UJO),AIM:UJO,Energy (Primary),6.83,0,,-0.852,,4.2,
Mosman Oil And Gas Limited (AIM:MSMN),AIM:MSMN,Energy (Primary),6.82,0.584,-2.67,-2.68,-0.017,10.2,
Dundee Energy Limited (TSX:DEN),TSX:DEN,Energy (Primary),6.78,53.2,15.9,5.47,-3.93,51.7,
Vinacomin - Cao Son Coal JSC (HASTC:TCS),HASTC:TCS,Energy (Primary),6.76,,,,,,
New Western Energy Corporation (OTCPK:NWTR),OTCPK:NWTR,Energy (Primary),6.73,1.12,-2.27,-2.38,-1.56,-0.538,
Lemur Resources Limited (ASX:LMR),ASX:LMR,Energy (Primary),6.73,0,-1.67,-2.05,,24.9,
Revoil S.A. (ATSE:REVOIL),ATSE:REVOIL,Energy (Primary),6.7,61.6,9.39,2.07,,17,
Sino Clean Energy Inc (OTCPK:SCEI),OTCPK:SCEI,Energy (Primary),6.68,,,,,,
TomCo Energy Plc (AIM:TOM),AIM:TOM,Energy (Primary),6.62,0,-1.17,-1.18,,21.1,
Oyster Oil and Gas Ltd. (TSXV:OY),TSXV:OY,Energy (Primary),6.57,0,-0.424,-0.374,,8.37,
Independent Oil & Gas Plc (AIM:IOG),AIM:IOG,Energy (Primary),6.56,0.983,,-3.33,-0.388,26.6,
InfraStrata plc (AIM:INFA),AIM:INFA,Energy (Primary),6.49,0.022,-2.04,-2.05,,18,
China New Energy Ltd. (AIM:CNEL),AIM:CNEL,Energy (Primary),6.44,1.06,-2.54,-2.93,-0.126,3.09,
South Pacific Resources Limited (ASX:SPB),ASX:SPB,Energy (Primary),6.44,0,-0.764,-0.819,,-0.523,
Wilton Resources Inc. (TSXV:WIL),TSXV:WIL,Energy (Primary),6.43,0.8,-1.66,-1.71,-0.113,-1.76,
Park Place Energy Corp. (OTCPK:PKPL),OTCPK:PKPL,Energy (Primary),6.4,0,-0.812,-0.813,,3.49,
Empire Energy Group Limited (ASX:EEG),ASX:EEG,Energy (Primary),6.37,40.7,8.77,2.97,-2.68,49.2,
Vital Energy Inc. (TSXV:VUX),TSXV:VUX,Energy (Primary),6.36,0,-1.58,-2.24,-0.001,17.6,
Interlink Petroleum Ltd. (BSE:526512),BSE:526512,Energy (Primary),6.35,10.9,-0.157,-0.173,-0.023,5.54,
EnerGulf Resources Inc. (TSXV:ENG),TSXV:ENG,Energy (Primary),6.34,0.05,-1.32,-1.34,,19.6,
Altima Resources Ltd. (TSXV:ARH),TSXV:ARH,Energy (Primary),6.32,4.78,-0.005,-0.336,-0.443,16.3,
Phoenix Canada Oil Co. Ltd. (TSXV:PCO),TSXV:PCO,Energy (Primary),6.28,0.082,-0.313,-0.316,-0.001,7.96,
Marksmen Energy Inc. (TSXV:MAH),TSXV:MAH,Energy (Primary),6.28,0.654,-0.616,-0.769,-0.064,1.68,
Kingsland Energy Corp. (TSXV:KLE),TSXV:KLE,Energy (Primary),6.26,2.37,-0.388,-0.669,-0.187,2.36,
CUB Energy Inc. (TSXV:KUB),TSXV:KUB,Energy (Primary),6.26,2,-4.07,-27.8,-0.24,27.2,
WildHorse Energy Ltd. (ASX:WHE),ASX:WHE,Energy (Primary),6.25,0.041,0.345,-4.57,-0.02,0.337,
"Baron Energy, Inc. (OTCPK:BROE)",OTCPK:BROE,Energy (Primary),6.24,,,,,,
Enhanced Oil & Gas Recovery Limited (ASX:EOR),ASX:EOR,Energy (Primary),6.24,0,,-0.646,-0.002,0.026,
Petro-Victory Energy Corp. (TSXV:VRY),TSXV:VRY,Energy (Primary),6.23,2.5,-0.576,-0.579,-0.023,64.3,
Alpha PetroVision Holding AG (SWX:APHN),SWX:APHN,Energy (Primary),6.19,4.59,-4.1,-9.78,-0.714,-2.43,
U3O8 Corp. (TSX:UWE),TSX:UWE,Energy (Primary),6.18,0,-3.97,-4.21,,9.22,
Po Valley Energy Ltd. (ASX:PVE),ASX:PVE,Energy (Primary),6.17,3.59,2.14,-0.832,-0.514,23.7,
Austin Exploration Limited (ASX:AKK),ASX:AKK,Energy (Primary),6.1,0,-16,-17.2,,26.2,
Aura Energy Limited (ASX:AEE),ASX:AEE,Energy (Primary),6.08,0.034,-1.3,-2.24,-0.018,11.4,
Oakridge Energy Inc. (OTCPK:OAKR),OTCPK:OAKR,Energy (Primary),6.05,,,,,,
Azabache Energy Inc. (TSXV:AZA),TSXV:AZA,Energy (Primary),6.01,4.11,-4.31,-5.67,-0.43,14.1,
Simba Energy Inc. (TSXV:SMB),TSXV:SMB,Energy (Primary),5.94,0.07,-0.731,-0.75,-0.009,6.26,
Black Range Minerals Limited (ASX:BLR),ASX:BLR,Energy (Primary),5.91,0.461,-10.5,-11.2,,15.1,
Northern Petroleum plc (AIM:NOP),AIM:NOP,Energy (Primary),5.84,0,-11.6,-34.3,-0.203,83,
Petro One Energy Corp. (TSXV:POP),TSXV:POP,Energy (Primary),5.8,0,-1.87,-2.09,,13,
Borneo Resource Investments Ltd. (OTCPK:BRNE),OTCPK:BRNE,Energy (Primary),5.78,3.85,-2.41,-2.45,-0.161,1.11,
Intra Energy Corporation Limited (ASX:IEC),ASX:IEC,Energy (Primary),5.78,3.69,-1.92,-13.9,-0.403,16.5,
Northcote Energy Limited (AIM:NCT),AIM:NCT,Energy (Primary),5.77,1.58,-2.58,-2.7,-0.223,6.34,
"Planet Resource Recovery, Inc. (OTCPK:PRRY)",OTCPK:PRRY,Energy (Primary),5.71,,,,,,
Montana Exploration Corp. (TSXV:MTZ),TSXV:MTZ,Energy (Primary),5.64,6.95,-2.8,-5.72,-0.406,-4.36,
Key Petroleum Limited (ASX:KEY),ASX:KEY,Energy (Primary),5.63,0,-0.897,-1.08,-0.006,3.57,
Strateco Resources Inc. (TSX:RSC),TSX:RSC,Energy (Primary),5.62,10.6,-3.93,-4.55,-2.95,-12.7,
Moreton Resources Ltd. (ASX:MRV),ASX:MRV,Energy (Primary),5.59,0,-0.718,-0.817,-0.007,5.9,
Sefton Resources Inc. (AIM:SER),AIM:SER,Energy (Primary),5.44,5.13,-0.791,-1.24,-0.343,6.52,
Modun Resources Limited (ASX:MOU),ASX:MOU,Energy (Primary),5.42,0,-1.17,-1.18,,4.8,
ITP Energy Corporation (OTCPK:ITPG),OTCPK:ITPG,Energy (Primary),5.42,,,,,,
Continental Energy Corporation (OTCPK:CPPX.F),OTCPK:CPPX.F,Energy (Primary),5.41,0.398,-0.565,-0.569,-0.129,-0.414,
"Alternative Fuels America, Inc. (OTCPK:AFAI)",OTCPK:AFAI,Energy (Primary),5.41,0.725,-0.914,-0.922,-0.267,-0.841,
Titan Energy Services Limited (ASX:TTN),ASX:TTN,Energy (Primary),5.39,12,10.5,6.83,-0.894,35.1,
Altona Energy Plc (AIM:ANR),AIM:ANR,Energy (Primary),5.29,0,,-3.85,,16.5,
Sable Natural Resources Corporation (OTCPK:SNRE),OTCPK:SNRE,Energy (Primary),5.27,12,-2.93,-3.84,-0.8,-3.68,
TransCoastal Corporation (OTCPK:TCEC),OTCPK:TCEC,Energy (Primary),5.24,17.3,-0.449,-1.02,-0.774,5.29,
Petrovietnam Gas City Investment And Development JSC (HASTC:PCG),HASTC:PCG,Energy (Primary),5.21,,,,,,
Antrim Energy Inc. (TSXV:AEN),TSXV:AEN,Energy (Primary),5.18,0,-8.03,-8.15,,12.7,
Norwest Energy NL (ASX:NWE),ASX:NWE,Energy (Primary),5.1,0.427,-1.5,-2.23,,3.69,
"ecoTECH Energy Group, Inc. (OTCPK:ECTH)",OTCPK:ECTH,Energy (Primary),5,,,,,,
Quicksilver Resources Inc. (OTCPK:KWKA.Q),OTCPK:KWKA.Q,Energy (Primary),4.96,2037.3,218.5,157.4,-163.3,-1137.9,D
Target Energy Limited (ASX:TEX),ASX:TEX,Energy (Primary),4.95,6.35,0.082,-5.87,-0.618,11.2,
Wolf Petroleum Limited (ASX:WOF),ASX:WOF,Energy (Primary),4.93,0,-1.57,-1.63,,8.49,
UIL Energy Ltd (ASX:UIL),ASX:UIL,Energy (Primary),4.91,0,-1.4,-2.05,,5.72,
Armax Gaz SA (RASDAQ:ARAX),RASDAQ:ARAX,Energy (Primary),4.9,9.37,1.94,0.825,-0.34,29.5,
Global Petroleum Limited (ASX:GBP),ASX:GBP,Energy (Primary),4.88,0,-2.97,-11.8,,14.5,
The Israel Land Development Company Energy Ltd (TASE:IE),TASE:IE,Energy (Primary),4.84,11.3,-1.78,-27.4,-0.978,-5.5,
Sun Resources NL (ASX:SUR),ASX:SUR,Energy (Primary),4.83,0,-1.8,-58.7,-0.007,13.8,
Annica Holdings Limited (Catalist:5AL),Catalist:5AL,Energy (Primary),4.83,0.304,-5.29,-6.99,-0.059,7.54,
Edenville Energy Plc (AIM:EDL),AIM:EDL,Energy (Primary),4.8,0,-1.55,-4.45,,15,
American Eagle Energy Corporation (AMEX:AMZG),AMEX:AMZG,Energy (Primary),4.79,173.5,32.2,7.56,-15.9,47,D
McChip Resources Inc. (TSXV:MCS),TSXV:MCS,Energy (Primary),4.77,0.142,-0.046,-0.99,,3.45,
Axiom Oil and Gas Corp. (OTCPK:AXIO),OTCPK:AXIO,Energy (Primary),4.74,1.95,,-0.857,-0.039,-2.16,
Stonehaven Exploration Ltd. (TSXV:SE),TSXV:SE,Energy (Primary),4.73,0,0.382,-0.089,,8.44,
Interfox Resources AB (OM:IFOX),OM:IFOX,Energy (Primary),4.7,0,-1.63,-1.64,-0.083,7.34,
Marsa Energy Inc. (TSXV:MEP),TSXV:MEP,Energy (Primary),4.69,0,-8.13,-8.19,,27.8,
"Bakken Resources, Inc. (OTCPK:BKKN)",OTCPK:BKKN,Energy (Primary),4.69,0,0.931,0.861,0,7.23,
Escalera Resources Co. (NasdaqGS:ESCR),NasdaqGS:ESCR,Energy (Primary),4.65,45,7.38,-18.3,-1.76,19.2,
Petrel Resources plc (AIM:PET),AIM:PET,Energy (Primary),4.63,0,-0.669,-0.697,,12.4,
Sahara Energy Ltd. (TSXV:SAH),TSXV:SAH,Energy (Primary),4.62,0,-0.82,-0.933,,15.2,
Sadovaya Group S.A. (WSE:SGR),WSE:SGR,Energy (Primary),4.62,,,,,,
