Company Name/ Symbol,Company Details,Market Data,Ownership Details,Risk Measures,Shares Outstanding & Trading Data,Estimates for future earnings & growth,Historical/Past growth,Income Statement/ Flow Numbers (Last Twelve Months),Balance Sheet (Most recent quarter),Capital Invested (Four quarters prior),R&D Expenses (Current & Last 5 years),Earnings & Dividends Per Share,Lease Commitments (Current year & Expected Future commitments),Cash Flow Numbers (Last Twelve Months) - Signs indicate cash flow effects,Last fiscal year numbers,Corporate Governance
Company Name,Year Founded,"Day Close Price [Latest] ($USD, Historical rate)",Corporations - % Owned [Latest] (%),5 Year Beta [Latest],Total Options Out. at the End of Year [Latest Annual] (mm),Expected EBITDA in next 4  quarters,"EBIT, 10 Yr CAGR % [LTM] (%)","EBITDA [LTM] ($USDmm, Historical rate)","Net Property, Plant & Equipment [Latest Quarter] ($USDmm, Historical rate)","Total Minority Interest [Latest Quarter - 4] ($USDmm, Historical rate)","R&D Expense [LTM - 1] ($USDmm, Historical rate)","Basic EPS Excl. Extra Items [LTM] ($USD, Historical rate)","Operating Lease Commitment Due +5 [Latest Annual] ($USDmm, Historical rate)","Pref. Dividends Paid [LTM] ($USDmm, Historical rate)","EBITDA [Latest Annual] ($USDmm, Historical rate)",Corporate Governance - Board Member Term Length (Years)
Constellation Brands Inc. (NYSE:STZ),1945,159.59,0.057699999999999994,0.628,9.54,2598.1,0.11,2364.1,3632.1,102.2,0,5.98,26.5,0,2107.7,1
Continental Aktiengesellschaft (DB:CON),1871,186.2,0.46,1.16,0,7271.6,0.0955,6832.8,10657.7,502.7,2931.8,16.2,138.5,0,6500.9,5
Costco Wholesale Corporation (NasdaqGS:COST),1976,142.24,0.00993,0.693,0,5412,0.0843,4927,17043,226,0,5.36,166,0,4927,3
CRH plc (ISE:CRG),1936,32.02,1e-05,0.799,8.62,3704.7,0.0125,3039.6,14001.9,24.5,0,1.29,192.2,0,2382.8,3
Crown Castle International Corp. (NYSE:CCI),1994,87.81,8e-05,0.295,0,2270.3,0.261,2078.4,9714.1,0,0,0.986,580.9,-44,2031.5,1
CRRC Corporation Limited (SHSE:601766),2007,1.38,0.5453,1.44,0,3721.8,NA,3089.8,9601.4,2450.4,1494,0.064,0,0,3183.6,3
CSL Ltd. (ASX:CSL),1916,75.71,0,0.156,0.678,1970.7,0.265,1639.2,2389.6,0,563.5,2.69,41,0,1639.2,3
CSX Corp. (NasdaqGS:CSX),1978,30.92,0,1.25,0,4652.6,0.0526,4441,30782,15,0,1.8,35,0,4799,1
CVS Health Corporation (NYSE:CVS),1892,82.31,0,0.825,24.3,13611.3,0.16399999999999998,12356,9981,6,0,4.36,1877,0,11856,1
Daikin Industries Ltd. (TSE:6367),1924,96.32,3e-05,0.972,0.533,2893.1,0.142,3042.4,3664.3,198.9,410.6,4.97,0,0,2688.4,NA
Daimler AG (XTRA:DAI),1886,68.8,0.0308,1.24,0,21721,0.077,18412.9,43590.2,1074.7,6847.7,8.6,301.7,0,18083.1,5
Danaher Corp. (NYSE:DHR),1969,76.94,0,1.03,20.1,4181.2,0.11599999999999999,5434.6,2255.1,71.1,1292,4.03,85.4,0,4709.2,1
Danone (ENXTPA:BN),1899,68.1,0.0231,0.455,1.35,4508.8,0.058600000000000006,4250.1,5356.2,41.2,357.6,3.15,0,0,4054.3,3
Deere & Company (NYSE:DE),1837,88.06,0.0698,0.904,14.8,2478.7,0.0015,3715.2,4994.7,1.9,1415.1,5.01,31,0,3894.5,1
"Delta Air Lines, Inc. (NYSE:DAL)",1924,42.88,0,0.957,5.3,8183.5,NA,8116,24105,0,148,6.2,1053,0,8223,1
DENSO Corporation (TSE:6902),1949,42.79,0.3508,1.07,0,5197.5,0.00954,5427.3,13815.4,1055.7,3887.6,2.85,4.59,0,4948.5,NA
Deutsche Post AG (XTRA:DPW),NA,31,0.21,0.929,0,5483.9,0.0437,3952.5,8771.2,330.8,94.5,1.74,580,0,3278.8,5
Deutsche Telekom AG (DB:DTE),1995,16.01,0,0.607,0,23550,-0.0182,20730.7,49865.1,9292.1,123.1,1.33,2469.7,0,19982.6,5
Diageo plc (LSE:DGE),1886,25.78,0.011000000000000001,0.253,0,5001.9,0.037599999999999995,4361.9,5159.6,2335.3,38.9,1.19,83.8,0,4361.9,3
Dish Network Corp. (NasdaqGS:DISH),1980,54.93,0,0.866,6.85,2989.8,0.0541,3110.6,2750.8,254.6,0,1.88,10,0,2980.4,1
"Dominion Resources, Inc. (NYSE:D)",1909,73.79,2e-05,0.204,0,6292,0.00805,5417,48888,684,0,3.32,25,0,5320,1
Duke Energy Corporation (NYSE:DUK),2005,77.27,0,0.154,0.103,9507.5,0.12300000000000001,9532,78216,36,0,3.97,127,0,9194,1
E. I. du Pont de Nemours and Company (NYSE:DD),1802,68.61,0,1.78,18.2,6283.9,-0.00247,4556,9654,215,1774,2.31,133,0,4105,1
East Japan Railway Company (TSE:9020),1987,86.95,5e-05,NA,0,8183.9,0.0182,8344.7,61085.4,166,164.4,6.13,0,0,7618.9,NA
