Company Name,Price,DCF Model,DCF Value,Multiple used,Relative Value,Option Value,Recommendation,% Under or over,% Under or Over: Relative
SoulCycle,18,FCFF,21.15,EV/Sales,4.74,,Buy,-0.14893617021276595,2.7974683544303796
Southwest Airlines Co,45.52,FCFF,86.28,VEBITDA,45.03,,Buy,-0.4724153917477978,0.010881634465911727
Speciality Restaurants (INR),120.5,FCFF,80.41763499268015,EV/EBITDA (ltm),57.83285530126741,,Sell,0.4984275527496955,1.0835907093343744
Spring Airlines,8.72,FCFF,23.98,PBV,4.47,,Buy,-0.6363636363636364,0.9507829977628637
Sprint,3.85,FCFF,-6.03,EV/EBITDA,2.07,,Sell,1,0.8599033816425123
Starbucks,59.8,FCFF,52.61,EV/Sales,38.95,,Sell,0.13666603307356007,0.5353016688061616
Starbucks,59.82,FCFF,42.72,PE,47.5,,Sell,0.4002808988764046,0.2593684210526317
Starbucks,59.82,FCFF,51.52,PE,42.3,,Sell,0.16110248447204967,0.4141843971631207
Starwood,68.07,FCFF,52.59,VEBITDA,75.61,,Hold (Chicken),0.2943525385054191,-0.09972225896045506
Stryker,$92.20,FCFF,$109.50,EV/Sales,$110.35,,Hold,-0.15799086757990866,-0.16447666515632076
Suffolk Bancorp,27.95,DDM,27.73,PBV,23.44,,Sell,0.007933645870897843,0.19240614334470973
Suntrust,41.79,Dividends,96.41,PBV,38.75,,BUY,-0.5665387407945234,0.07845161290322578
Syngenta ,78.11,FCFF,92.45,PEG Ratio (PE/Growth),67.73,,Buy,-0.1551108707409411,0.153255573601063
Sysco,40.91,FCFF,12.29,PE,28.716,,Sell,2.3287225386493082,0.42464131494637125
Tableau Software,88.29,FCFF,113.23,EV/Sales,297.3,,BUY,-0.2202596485030469,-0.7030272452068618
Tableau Software Inc,88.29,FCFF,132,PS,115,,Buy,-0.33113636363636356,-0.2322608695652173
TASER International,17.03,FCFF,16.25,EV/EBITDA,28.4,,Hold,0.04800000000000004,-0.4003521126760563
Tata Motors Ltd,379.1,FCFF,457.36,PE,510.42,,Buy,-0.1711124715760014,-0.2572783198150542
TD Ameritrade,$34.31,Dividends,$36.39,PBV,$43.80,,Hold,-0.05715856004396802,-0.21666666666666656
Teladoc,19.02,FCFF,9.71,EV/Sales,12.57,,Sell,0.9588053553038103,0.5131264916467779
Tencent,122.9,FCFF,107.3,PBV,109,,Sell,0.14538676607642143,0.12752293577981666
Tesla,230.87,FCFF,23.84,VS,13.22,,Sell,8.684144295302014,16.463691376701966
Tesla,$217.02,FCFF,$121.53,EV/Sales,$13.28,,Sell,0.7857319180449271,15.34186746987952
Tesla,217.02,FCFF,167.86,EV/Sales,184.6,,Sell,0.2928631002025497,0.17562296858071513
Tesla,212.96,FFCF,125.14,EV/Sales,124.39,1599,SELL,0.7017740131053221,0.7120347294798617
Tesla,217.02,FCFF,155.86,EV/Sales,50.88,180.32,Sell,0.3924034389837032,3.265330188679245
Tesla Motors Inc,212.96,FCFF,333.15,PS,233.02,189.83,Buy,-0.3607684226324478,-0.08608703115612393
"Tesla Motors, Inc.",217.02,FCFF,166.24,EV/Sales,18.1,,Sell,35.01,10.990055248618784
"Tesla Motors, Inc. ",234.5,FCFF,168.12,PS,-68.12,228.07,Sell,0.3948370211753509,1
"Tesla, Inc.",217.02,FCFF,27.91,EV/EBITDA,40.46,,Sell,6.775707631673236,4.363816114681167
Thai Union Frozen,17.9,FCFF,24.36,PE,23.92,,BUY,-0.26518883415435146,-0.2516722408026757
The Western Union,18.29,FCFF,21.21,EV/EBITDA,13.54,,Hold,-0.1376709099481378,0.35081240768094535
Tiffany's,75.25,FCFF,70.05,EV/Sales,29.82,,Sell,0.07423269093504636,1.523474178403756
TripAdvisor,$82.48,FCFF,$109.50,PE,$97.01,,Buy,-0.24675799086757988,-0.1497783733635708
TrueBlue,26.12,FCFF,17.76,PE,41.5,,Sell,0.4707207207207207,-0.3706024096385542
Twitter,25.14,FCFF,28.35,VS,33.95,,Buy,-0.11322751322751323,-0.25949926362297504
Twitter,24.84,FCFF,19.35,EV/EBITDA,12.9,,Sell,0.28372093023255807,0.9255813953488372
Twitter,25.91,FCFF,38.74,PBV,37.01,,Buy,-0.33118224057821377,-0.2999189408268035
Twitter,24.84,FCFF,15.92,PS,18.48,,Sell,0.5603015075376885,0.3441558441558441
Twitter,24.84,FCFF,17.19,EV/Sales,13.125,,Sell,0.4450261780104712,0.8925714285714286
Twitter,25.91,FCFF,38.74,PBV,37.01,,Buy,-0.33118224057821377,-0.2999189408268035
Twitter,25.31,FCFF,29.73,EV/Revenue,30.12,,buy,-0.1486713757147663,-0.1596945551128819
Twitter,24.84,FCFF,27.38,VS,21.16,,Buy,-0.09276844411979546,0.17391304347826075
Twitter ,25.06,FCFF,24.92,P/BV ,9.4,,Sell ,0.00561797752808979,1.6659574468085103
Unacem,1.7,FCFF,2.03,VEBITDA,2.1,,Buy,-0.16256157635467972,-0.19047619047619058
Vertex Pharmaceuticals,115.9,FCFF,120.91,VS,102.8,,Hold,-0.041435778678355684,0.12743190661478598
Viacom,44.1,FCFF,52.64,VEBITDA,61.63,,Buy,-0.16223404255319152,-0.2844393963978582
Vodafone,2.08,FCFF,0.63,VS,1.76,,Sell,2.301587301587302,0.18181818181818188
Volkswagen AG,137.6,FCFF,164.61,EV / EBITDA,119.24,,Buy,-0.16408480651236268,0.15397517611539757
Volkswagen AG,137.6,FCFF,105.72,PE,104.02,,Sell,0.30155126749905414,0.3228225341280524
Walmart,59.36,FCFF,59.2,PE,70.94,,Buy,0.002702702702702675,-0.16323653791936843
Whole Foods,30.2,FCFF,20.4,PS,31.06,,Sell,0.48039215686274517,-0.02768834513844176
Whole Foods,34.04,Dividends,22.43,EV/EBITDA,27.56,,Sell,0.5176103432902364,0.23512336719883886
Whole Foods Market (WFM),34.02,FCFF,25.68,PE,32.2,,Sell,0.32476635514018715,0.05652173913043468
XPO Logistics,27.38,FCFF,30.18,PBV,6.87,41.25,Hold,-0.09277667329357198,2.9854439592430855
Yanlord Land Group Ltd,4.61,FCFF,10.45,PE,10.02,,Buy,-0.5588516746411483,-0.5399201596806387
Yelp,29.66,FCFF,33.27,EV/Sales,42.56,,Buy,-0.10850616170724381,-0.3031015037593985
Yelp,29.65,FCFF,28.86,PEG,17.78,,Sell,0.027373527373527384,0.6676040494938131
Yelp Inc.,29.65,FCFF,19.78,PE,32.22,,Sell,0.498988877654196,-0.07976412166356306
YY Inc.,62.21,FCFF,53.23,Forward PE,75.7,,HOLD,0.1687018598534662,-0.17820343461030386
Zhejiang Kaishan Compressor Co. ,28.12,FCFF,13.51,PE,19.22,,Sell,1.081421169504071,0.46305931321540084
Zillow,25.49,FCFF,29.42,VS,24.16,,Buy,-0.13358259687287566,0.055049668874172175
"Zillow Group, Inc.",25.49,FCFF,29.43,PS,18.73,,Hold,-0.13387699626231742,0.3609183128670581
